country,country_code,year_week,age_group,new_cases,population,source,rate_14_day_per_100k
Austria,AT,2020-09,<15yr,0,1278692,"TESSy COVID-19, national weekly data",
Austria,AT,2020-10,<15yr,0,1278692,"TESSy COVID-19, national weekly data",
Austria,AT,2020-11,<15yr,10,1278692,"TESSy COVID-19, national weekly data",0.8
Austria,AT,2020-12,<15yr,58,1278692,"TESSy COVID-19, national weekly data",5.3
Austria,AT,2020-13,<15yr,156,1278692,"TESSy COVID-19, national weekly data",16.7
Austria,AT,2020-14,<15yr,104,1278692,"TESSy COVID-19, national weekly data",20.3
Austria,AT,2020-15,<15yr,54,1278692,"TESSy COVID-19, national weekly data",12.4
Austria,AT,2020-16,<15yr,14,1278692,"TESSy COVID-19, national weekly data",5.3
Austria,AT,2020-17,<15yr,21,1278692,"TESSy COVID-19, national weekly data",2.7
Austria,AT,2020-18,<15yr,20,1278692,"TESSy COVID-19, national weekly data",3.2
Austria,AT,2020-19,<15yr,6,1278692,"TESSy COVID-19, national weekly data",2.0
Austria,AT,2020-20,<15yr,26,1278692,"TESSy COVID-19, national weekly data",2.5
Austria,AT,2020-21,<15yr,25,1278692,"TESSy COVID-19, national weekly data",4.0
Austria,AT,2020-22,<15yr,28,1278692,"TESSy COVID-19, national weekly data",4.1
Austria,AT,2020-23,<15yr,33,1278692,"TESSy COVID-19, national weekly data",4.8
Austria,AT,2020-24,<15yr,22,1278692,"TESSy COVID-19, national weekly data",4.3
Austria,AT,2020-25,<15yr,32,1278692,"TESSy COVID-19, national weekly data",4.2
Austria,AT,2020-26,<15yr,42,1278692,"TESSy COVID-19, national weekly data",5.8
Austria,AT,2020-27,<15yr,109,1278692,"TESSy COVID-19, national weekly data",11.8
Austria,AT,2020-28,<15yr,59,1278692,"TESSy COVID-19, national weekly data",13.1
Austria,AT,2020-29,<15yr,95,1278692,"TESSy COVID-19, national weekly data",12.0
Austria,AT,2020-30,<15yr,82,1278692,"TESSy COVID-19, national weekly data",13.8
Austria,AT,2020-31,<15yr,75,1278692,"TESSy COVID-19, national weekly data",12.3
Austria,AT,2020-32,<15yr,53,1278692,"TESSy COVID-19, national weekly data",10.0
Austria,AT,2020-33,<15yr,77,1278692,"TESSy COVID-19, national weekly data",10.2
Austria,AT,2020-34,<15yr,130,1278692,"TESSy COVID-19, national weekly data",16.2
Austria,AT,2020-35,<15yr,177,1278692,"TESSy COVID-19, national weekly data",24.0
Austria,AT,2020-36,<15yr,228,1278692,"TESSy COVID-19, national weekly data",31.7
Austria,AT,2020-37,<15yr,387,1278692,"TESSy COVID-19, national weekly data",48.1
Austria,AT,2020-38,<15yr,512,1278692,"TESSy COVID-19, national weekly data",70.3
Austria,AT,2020-39,<15yr,470,1278692,"TESSy COVID-19, national weekly data",76.8
Austria,AT,2020-40,<15yr,615,1278692,"TESSy COVID-19, national weekly data",84.9
Austria,AT,2020-41,<15yr,841,1278692,"TESSy COVID-19, national weekly data",113.9
Austria,AT,2020-42,<15yr,986,1278692,"TESSy COVID-19, national weekly data",142.9
Austria,AT,2020-43,<15yr,1368,1278692,"TESSy COVID-19, national weekly data",184.1
Austria,AT,2020-44,<15yr,1877,1278692,"TESSy COVID-19, national weekly data",253.8
Austria,AT,2020-45,<15yr,2038,1278692,"TESSy COVID-19, national weekly data",306.2
Austria,AT,2020-46,<15yr,2921,1278692,"TESSy COVID-19, national weekly data",387.8
Austria,AT,2020-47,<15yr,2643,1278692,"TESSy COVID-19, national weekly data",435.1
Austria,AT,2020-48,<15yr,1876,1278692,"TESSy COVID-19, national weekly data",353.4
Austria,AT,2020-49,<15yr,1226,1278692,"TESSy COVID-19, national weekly data",242.6
Austria,AT,2020-50,<15yr,1006,1278692,"TESSy COVID-19, national weekly data",174.6
Austria,AT,2020-51,<15yr,959,1278692,"TESSy COVID-19, national weekly data",153.7
Austria,AT,2020-52,<15yr,873,1278692,"TESSy COVID-19, national weekly data",143.3
Austria,AT,2020-53,<15yr,805,1278692,"TESSy COVID-19, national weekly data",131.2
Austria,AT,2021-01,<15yr,735,1278692,"TESSy COVID-19, national weekly data",120.4
Austria,AT,2021-02,<15yr,518,1278692,"TESSy COVID-19, national weekly data",98.0
Austria,AT,2021-03,<15yr,694,1278692,"TESSy COVID-19, national weekly data",94.8
Austria,AT,2021-04,<15yr,761,1278692,"TESSy COVID-19, national weekly data",113.8
Austria,AT,2020-09,15-24yr,4,969767,"TESSy COVID-19, national weekly data",
Austria,AT,2020-10,15-24yr,14,969767,"TESSy COVID-19, national weekly data",
Austria,AT,2020-11,15-24yr,103,969767,"TESSy COVID-19, national weekly data",12.1
Austria,AT,2020-12,15-24yr,286,969767,"TESSy COVID-19, national weekly data",40.1
Austria,AT,2020-13,15-24yr,435,969767,"TESSy COVID-19, national weekly data",74.3
Austria,AT,2020-14,15-24yr,308,969767,"TESSy COVID-19, national weekly data",76.6
Austria,AT,2020-15,15-24yr,178,969767,"TESSy COVID-19, national weekly data",50.1
