country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
Austria,AT,AT11,Burgenland,291,593,293433,202.090426093861,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,1.02627402574502,9663.19398295352,Red,2021-04
Austria,AT,AT12,Niederosterreich,1637,3341,1677542,199.160438307953,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,2.9895175134227,3264.18056895148,Red,2021-04
Austria,AT,AT13,Wien,1722,3443,1897491,181.45013599537498,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,1.18742242449317,7642.723997109871,Red,2021-04
Austria,AT,AT21,Karnten,2035,2659,560939,474.026587561214,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,8.35900595604847,4340.044104617439,Red,2021-04
Austria,AT,AT22,Steiermark,1796,2998,1243052,241.180578125453,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,1.97091906721536,7330.74722537754,Red,2021-04
Austria,AT,AT31,Oberosterreich,2458,3887,1482095,262.263889966568,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,1.4649613197763798,11320.866746058799,Red,2021-04
Austria,AT,AT32,Salzburg,1453,2567,555221,462.338420196642,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,3.22888888888889,8104.880759193191,Red,2021-04
Austria,AT,AT33,Tirol,1187,1953,754705,258.776608078653,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,1.8577062726931297,8466.35440337616,Red,2021-04
Austria,AT,AT34,Vorarlberg,866,1263,394297,320.31691846501496,9451.0,8858775.0,7401.847320876759,1.44133180217565,True,2.4443942644236203,8985.10513648341,Red,2021-04
Belgium,BE,BE1,Region De Bruxelles-Capitale/brussels Hoofdstedelijk Gewest,1494,2988,1215290,245.867241563742,16454.0,11455519.0,3012.0503488318604,4.76863954371301,False,4.76863954371301,3012.0503488318604,Red,2021-04
Belgium,BE,BE2,Vlaams Gewest,9529,18678,6596233,283.16161663786,16454.0,11455519.0,3012.0503488318604,4.76863954371301,False,4.76863954371301,3012.0503488318604,Red,2021-04
Belgium,BE,BE3,Region Wallonne,5158,9209,3643996,252.71707213729098,16454.0,11455519.0,3012.0503488318604,4.76863954371301,False,4.76863954371301,3012.0503488318604,Red,2021-04
Bulgaria,BG,BG31,Severozapaden,366,705,742304,94.97456567659609,3931.0,7000039.0,1058.47981704102,5.3054228412557,False,5.3054228412557,1058.47981704102,Red,2021-04
Bulgaria,BG,BG32,Severen Tsentralen,314,564,784168,71.9233633609125,3931.0,7000039.0,1058.47981704102,5.3054228412557,False,5.3054228412557,1058.47981704102,Red,2021-04
