country,region_name,nuts_code,year_week,source,rate_14_day_per_100k
Austria,Burgenland,AT11,2020-W13,"Epidemic intelligence, subnational weekly data",
Austria,Burgenland,AT11,2020-W14,"Epidemic intelligence, subnational weekly data",38.509642746385
Austria,Burgenland,AT11,2020-W15,"Epidemic intelligence, subnational weekly data",37.1464695518227
Austria,Burgenland,AT11,2020-W16,"Epidemic intelligence, subnational weekly data",27.9450504885272
Austria,Burgenland,AT11,2020-W17,"Epidemic intelligence, subnational weekly data",13.9725252442636
Austria,Burgenland,AT11,2020-W18,"Epidemic intelligence, subnational weekly data",6.47507267417094
Austria,Burgenland,AT11,2020-W19,"Epidemic intelligence, subnational weekly data",3.74872628504633
Austria,Burgenland,AT11,2020-W20,"Epidemic intelligence, subnational weekly data",3.06713968776518
Austria,Burgenland,AT11,2020-W21,"Epidemic intelligence, subnational weekly data",2.7263463891246
Austria,Burgenland,AT11,2020-W22,"Epidemic intelligence, subnational weekly data",1.3631731945623
Austria,Burgenland,AT11,2020-W23,"Epidemic intelligence, subnational weekly data",0.681586597281151
Austria,Burgenland,AT11,2020-W24,"Epidemic intelligence, subnational weekly data",0.340793298640576
Austria,Burgenland,AT11,2020-W25,"Epidemic intelligence, subnational weekly data",2.38555309048403
Austria,Burgenland,AT11,2020-W26,"Epidemic intelligence, subnational weekly data",3.40793298640576
Austria,Burgenland,AT11,2020-W27,"Epidemic intelligence, subnational weekly data",4.77110618096806
Austria,Burgenland,AT11,2020-W28,"Epidemic intelligence, subnational weekly data",7.49745257009266
Austria,Burgenland,AT11,2020-W29,"Epidemic intelligence, subnational weekly data",8.86062576465496
Austria,Burgenland,AT11,2020-W30,"Epidemic intelligence, subnational weekly data",11.246178855139
Austria,Burgenland,AT11,2020-W31,"Epidemic intelligence, subnational weekly data",11.246178855139
Austria,Burgenland,AT11,2020-W32,"Epidemic intelligence, subnational weekly data",7.83824586873324
Austria,Burgenland,AT11,2020-W33,"Epidemic intelligence, subnational weekly data",7.49745257009266
Austria,Burgenland,AT11,2020-W34,"Epidemic intelligence, subnational weekly data",16.0172850361071
