date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease,hospitalizedIncrease
20210204,AK,53114,,,,totalTestsViral,1529566,43.0,1214.0,,,10.0,,,A,2/4/2021 03:59,279,1529566.0,64183.0,1463638.0,,,,,,,,,,,,,,,,2,158,9360,0,1
20210204,AL,467823,100050.0,1781911.0,,totalTestsPeopleViral,2149684,1666.0,42811.0,,2564.0,,1457.0,252880.0,A,2/4/2021 11:00,8365,,,,367773.0,6642.0,1723.0,,2149684.0,,,,140376.0,,,,,,,1,2767,9765,162,84
20210204,AR,302899,61940.0,2255554.0,,totalTestsViral,2496513,815.0,13902.0,308.0,,145.0,1449.0,280868.0,A+,2/4/2021 00:00,5009,2496513.0,,2255554.0,240959.0,4013.0,996.0,,,,,,,,,380737.0,72563.0,,,5,2469,16070,24,89
20210204,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,N/A,12/1/2020 00:00,0,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,0,0
20210204,AZ,771796,49544.0,2781628.0,,totalTestsViral,6841912,3303.0,54091.0,946.0,,618.0,,106058.0,A+,2/4/2021 00:00,13752,6841912.0,,,722252.0,12224.0,1528.0,,3503880.0,420413.0,,,,,,,,,,4,4417,46724,176,659
20210204,CA,3294447,,,,totalTestsViral,43235327,14138.0,,3756.0,,,,,B,2/4/2021 02:59,42466,43235327.0,,,3294447.0,,,,,,,,,,,,,,,6,13176,168094,655,0
20210204,CO,400851,20227.0,2046519.0,,totalTestEncountersViral,5551135,595.0,22176.0,,,,,21260.0,A,2/4/2021 01:59,5677,,,,380624.0,4970.0,707.0,5551135.0,2427143.0,355906.0,46365.0,306480.0,,,,,,,,8,1584,36937,13,59
20210204,CT,257941,15667.0,5654383.0,,posNeg,5912324,837.0,12257.0,,,,,9800.0,B,2/3/2021 23:59,7185,5896657.0,,,242274.0,5872.0,1313.0,,,,,,,,,,,271157.0,16175.0,9,937,29880,28,0
20210204,DC,37365,,,,totalTestEncountersViral,1116342,248.0,,63.0,,41.0,,26453.0,A+,2/3/2021 00:00,932,,,,,,,1116342.0,414850.0,,,,,,,,,,,11,166,4103,6,0
20210204,DE,79225,3949.0,512060.0,,totalTestEncountersViral,1250852,315.0,,39.0,,,,,A,2/3/2021 18:00,1135,,82586.0,,75276.0,1022.0,113.0,1250852.0,591285.0,,,,,,,,,,,10,243,1561,5,0
