"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"54688","Central America","February 03, 2021","2021","Feb","1","","1","24","","","","Shot","Huimanguillo, Tabasco, Mexico","Movimiento Migrante Mesoamericano, El Financiero","17.830743900000, -93.389744100000","","https://archive.vn/n54qc, https://archive.vn/g6apH","Central America","4"
"54687","US-Mexico Border","February 02, 2021","2021","Feb","2","","2","","","","","Presumed drowning","Rio Bravo, Ejido El Refugio, Matamoros, Tamaulipas, Mexico","Hoy Tamaulipas","25.845917162292, -97.371032772583","","https://archive.vn/VDt27","Central America","1"
"54686","Central America","February 01, 2021","2021","Feb","1","","1","","","1","","Shot","Colonia Santa Teresa, Celaya, Guanajuato, Mexico","Periódico Correo","20.508723300000, -100.830097600000","","https://archive.vn/WI1j6","Central America","1"
"54667","Middle East","January 30, 2021","2021","Jan","2","","2","","","2","","Hypothermia","In forest close to Yeşilce Village of Demirköy District, Kirklareli, Turkey","Edirne Medya News","41.877014800000, 27.763265000000","","https://archive.vn/VE5Lg","Western Asia","1"
"54664","Middle East","January 29, 2021","2021","Jan","1","","1","","","1","","Drowning","Evros/Meriç river, Edirne - Lalapaşa District, Turkey","Gendarmerie General Command Turkey via IOM Turkey","41.880576829698, 26.571821778589","","","Western Asia","5"
"54663","Mediterranean","January 29, 2021","2021","Jan","4","","4","","","","","Presumed drowning","Remains washed ashore at Qarapoli, Libya","IOM Libya","32.793071657800, 13.714435402100","Central Mediterranean","","Uncategorized","4"
"54662","Mediterranean","January 29, 2021","2021","Jan","2","","2","","","","","Presumed drowning","Remains washed ashore at Azzawyia Al-Harsha, Libya","IOM Libya","32.786881700000, 12.693404800000","Central Mediterranean","","Uncategorized","4"
"54666","US-Mexico Border","January 29, 2021","2021","Jan","1","","1","16","","","","Drowning","In a drainage cannal in San Ysidro, California, USA","Mexican Consulate in San Diego","32.541434221662, -117.044811802100","","https://archive.vn/709Ux","Northern America","5"
"54685","Europe","January 29, 2021","2021","Jan","1","","1","10","","","","Vehicle Accident","In Voio, Kozani, Greece","Huffington Post","40.319772300000, 21.427588800000","","https://archive.vn/2hN4W","Southern Europe","1"
"54665","US-Mexico Border","January 29, 2021","2021","Jan","1","","1","","","1","","Shot (by border patrol)","Approximately one mile away from the Hidalgo Port of Entry, Texas, USA","US Border Patrol, Cubanos por el mundo","26.108746600000, -98.265250500000","","https://archive.vn/CCBfc, https://archive.vn/EYSRQ","Northern America","5"
"54655","South America","January 27, 2021","2021","Jan","10","","10","22","","","","Vehicle Accident","San Antonio-Capacho highway, Bolivar municipality, Venezuela","Deutsche Welle, Diario La Nacion, Las Noticias de Cojedes","6.174750948761, -67.078259610602","","https://archive.vn/UmOw4, https://archive.vn/FbVbo, https://archive.vn/nHb5T","South America","3"
"54684","Mediterranean","January 27, 2021","2021","Jan","1","","1","1","","1","","Presumed drowning","Remains recovered off Playa de la Potabilizadora, Ceuta, Spain","Tanjaoui, Press Tetouan, Chamal Post, Rue 20","35.895110000000, -5.282463800000","Western Mediterranean","https://archive.vn/k0xWV, https://archive.vn/NTfKL, https://archive.vn/yoTPd, https://archive.vn/a9CvB, https://archive.vn/TN3fB","Uncategorized","3"
