Country/territory of asylum,Refugees,Of whom assisted by UNHCR,People in refugee-like situations,Of whom assisted by UNHCR,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,IDPs protected/ assisted by UNHCR excl IDP-like,Persons in IDP-like situations,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons excl stateless like,Persons in stateless-like situations,Stateless persons,Various,Total population of concern
Afghanistan,66,66,2943,2943,3009,3009,53,71145,447547,0,447547,75453,0,0,0,951167,1548374
Albania,82,82,0,0,82,82,24,0,0,0,0,0,0,0,0,0,106
Algeria,94148,90143,0,0,94148,90143,816,0,0,0,0,0,0,0,0,0,94964
Angola,16223,5072,0,0,16223,5072,3167,3967,0,0,0,0,0,0,0,0,23357
Argentina,3361,192,0,0,3361,192,1217,0,0,0,0,0,0,0,0,0,4578
Armenia,2918,2898,0,0,2918,2898,25,0,0,0,0,0,11,0,11,82938,85892
Aruba,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,23434,0,0,0,23434,0,5242,0,0,0,0,0,0,0,0,0,28676
Austria,47073,0,0,0,47073,0,24480,0,0,0,0,0,464,0,464,0,72017
Azerbaijan,1730,1730,0,0,1730,1730,48,0,599192,0,599192,0,1741,0,1741,0,602711
Bahamas,21,20,7,7,28,27,14,0,0,0,0,0,0,0,0,0,42
Bahrain,199,199,0,0,199,199,160,0,0,0,0,0,0,0,0,0,359
Bangladesh,29669,29669,200000,0,229669,29669,2,0,0,0,0,0,0,0,0,0,229671
Belarus,595,246,0,0,595,246,50,0,0,0,0,0,7391,0,7391,0,8036
Belgium,22402,500,0,0,22402,500,19006,0,0,0,0,0,697,0,697,0,42105
Belize,78,66,0,0,78,66,55,0,0,0,0,0,0,0,0,0,133
Benin,7217,7217,0,0,7217,7217,358,0,0,0,0,0,0,0,0,0,7575
Bolivia (Plurinational State of),716,154,0,0,716,154,18,0,0,0,0,0,0,0,0,0,734
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,6933,1737,0,0,6933,1737,45,449,113000,0,113000,365,4500,0,4500,52529,177821
Botswana,3312,3312,0,0,3312,3312,246,0,0,0,0,0,0,0,0,0,3558
Brazil,4477,2772,0,0,4477,2772,4670,0,0,0,0,0,0,0,0,0,9147
British Virgin Islands,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,20992,0,20992,0,20992
Bulgaria,5688,0,0,0,5688,0,1384,0,0,0,0,0,0,0,0,0,7072
Burkina Faso,546,546,0,0,546,546,665,0,0,0,0,0,0,0,0,0,1211
Burundi,35659,35659,0,0,35659,35659,10060,4378,78796,0,78796,0,1059,0,1059,250,130202
Cambodia,64,64,0,0,64,64,49,0,0,0,0,0,0,0,0,0,113
Cameroon,100373,100373,0,0,100373,100373,3298,0,0,0,0,0,0,0,0,0,103671
Canada,164883,0,0,0,164883,0,41852,0,0,0,0,0,0,0,0,0,206735
Cayman Islands,3,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,4
Central African Rep.,16730,16730,0,0,16730,16730,2448,8974,105206,0,105206,66545,0,0,0,0,199903
Chad,366494,336153,0,0,366494,336153,165,76,124000,0,124000,7000,0,0,0,0,497735
Chile,1674,683,0,0,1674,683,364,0,0,0,0,0,0,0,0,0,2038
China,301018,105,0,0,301018,105,30,0,0,0,0,0,0,0,0,0,301048
" - Hong Kong SAR, China",152,152,0,0,152,152,597,0,0,0,0,0,1,0,1,0,750
" - Macao SAR, China",1,1,0,0,1,1,10,0,0,0,0,0,0,0,0,0,11
Colombia,219,66,0,0,219,66,120,24,3888309,0,3888309,0,12,0,12,0,3888684
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,141232,141232,0,0,141232,141232,3011,742,0,0,0,0,0,0,0,334,145319
Costa Rica,12571,12572,7486,3390,20057,15962,455,0,0,0,0,0,0,0,0,0,20512
Côte d'Ivoire,24221,24221,0,0,24221,24221,667,135206,126668,0,126668,466808,0,0,0,938,754508
Croatia,782,782,42,42,824,824,235,439,0,0,0,67,1720,0,1720,21016,24301
Cuba,384,347,0,0,384,347,2,3,0,0,0,0,0,0,0,0,389
Curacao,6,6,0,0,6,6,6,0,0,0,0,0,0,0,0,0,12
Cyprus,3503,0,0,0,3503,0,3059,0,0,0,0,0,0,0,0,0,6562
Czech Rep.,2449,0,0,0,2449,0,909,0,0,0,0,0,0,0,0,0,3358
Dem. Rep. of the Congo,152749,101299,0,0,152749,101299,1136,21081,1709278,0,1709278,822688,0,0,0,0,2706932
Denmark,13399,0,0,0,13399,0,1427,0,0,0,0,0,3183,0,3183,0,18009
Djibouti,20340,20340,0,0,20340,20340,1905,0,0,0,0,0,0,0,0,2,22247
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,595,225,0,0,595,225,1785,0,0,0,0,0,0,0,0,0,2380
Ecuador,55092,55092,68344,0,123436,55092,21558,0,0,0,0,0,0,0,0,0,144994
Egypt,95087,25087,0,0,95087,25087,18938,0,0,0,0,0,60,0,60,0,114085
El Salvador,38,32,0,0,38,32,5,0,0,0,0,0,0,0,0,0,43
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,4719,4685,0,0,4719,4685,7,0,0,0,0,0,0,0,0,0,4726
Estonia,50,0,0,0,50,0,9,0,0,0,0,0,97749,0,97749,0,97808
Ethiopia,288844,288844,0,0,288844,288844,1347,21,0,0,0,0,0,0,0,0,290212
Fiji,7,6,0,0,7,6,1,0,0,0,0,0,0,0,0,0,8
Finland,9175,0,0,0,9175,0,2283,0,0,0,0,0,3614,0,3614,0,15072
France,210207,0,0,0,210207,0,49240,0,0,0,0,0,1180,0,1180,0,260627
Gabon,1773,1773,0,0,1773,1773,2368,0,0,0,0,0,0,0,0,8651,12792
Gambia,9528,9527,0,0,9528,9527,26,0,0,0,0,0,0,0,0,0,9554
Georgia,462,462,0,0,462,462,40,0,273997,0,273997,0,1569,0,1569,0,276068
Germany,571685,0,0,0,571685,0,62680,0,0,0,0,0,8044,0,8044,16409,658818
Ghana,13588,13588,0,0,13588,13588,12632,0,0,0,0,0,0,0,0,0,26220
Greece,1573,0,0,0,1573,0,43942,0,0,0,0,0,205,0,205,0,45720
Grenada,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Guatemala,147,8,0,0,147,8,10,2,0,0,0,0,0,0,0,0,159
Guinea,16609,16609,0,0,16609,16609,605,1,0,0,0,0,0,0,0,0,17215
Guinea-Bissau,7800,7798,0,0,7800,7798,91,0,0,0,0,0,0,0,0,0,7891
Guyana,7,7,0,0,7,7,1,0,0,0,0,0,0,0,0,0,8
Haiti,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Honduras,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17
Hungary,5106,0,0,0,5106,0,360,0,0,0,0,0,89,0,89,0,5555
Iceland,58,0,0,0,58,0,81,0,0,0,0,0,106,0,106,0,245
India,185118,16966,0,0,185118,16966,3518,1,0,0,0,0,0,0,0,0,188637
Indonesia,1006,1006,0,0,1006,1006,3233,0,0,0,0,0,0,0,0,0,4239
"Iran, Islamic Rep. of",886468,886468,0,0,886468,886468,445,1,0,0,0,0,0,0,0,0,886914
Iraq,35189,35189,0,0,35189,35189,4196,67089,1332382,0,1332382,193610,120000,0,120000,0,1752466
Ireland,8249,0,0,0,8249,0,5439,0,0,0,0,0,0,0,0,0,13688
Israel,1116,175,40119,4500,41235,4675,6460,0,0,0,0,0,9,0,9,0,47704
Italy,58060,0,0,0,58060,0,13525,0,0,0,0,0,1176,0,1176,0,72761
Jamaica,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20
Japan,2649,814,0,0,2649,814,3698,0,0,0,0,0,1234,0,1234,0,7581
Jordan,451009,33206,0,0,451009,33206,4975,2,0,0,0,0,0,0,0,0,455986
Kazakhstan,616,606,0,0,616,606,70,0,0,0,0,0,7337,0,7337,3682,11705
Kenya,566487,566487,0,0,566487,566487,35271,69,300000,0,300000,0,20000,0,20000,0,921827
Kuwait,335,335,0,0,335,335,1118,0,0,0,0,0,93000,0,93000,0,94453
Kyrgyzstan,595,595,5500,1500,6095,2095,408,0,3400,160500,163900,8100,32300,0,32300,0,210803
Lao People's Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,95,0,0,0,95,0,231,0,0,0,0,0,312362,0,312362,0,312688
Lebanon,8845,8845,145,145,8990,8990,1736,0,0,0,0,0,0,0,0,4840,15566
Lesotho,34,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,37
Liberia,128285,128285,8,8,128293,128293,574,1768,0,0,0,0,0,0,0,1850,132485
Libya,7540,7540,2590,2590,10130,10130,2894,148951,93565,0,93565,458047,0,0,0,0,713587
Liechtenstein,94,0,0,0,94,0,57,0,0,0,0,0,2,0,2,0,153
Lithuania,821,0,0,0,821,0,77,0,0,0,0,0,3480,0,3480,0,4378
Luxembourg,2855,0,0,0,2855,0,1694,0,0,0,0,0,177,0,177,0,4726
Madagascar,9,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,11
Malawi,6308,6308,0,0,6308,6308,10545,0,0,0,0,0,0,0,0,0,16853
Malaysia,85754,85754,926,926,86680,86680,10937,0,0,0,0,0,40001,0,40001,80000,217618
Mali,15624,15624,0,0,15624,15624,2497,0,0,0,0,0,0,0,0,0,18121
Malta,6952,0,0,0,6952,0,1457,0,0,0,0,0,0,0,0,0,8409
Mauritania,535,535,26000,0,26535,535,282,1367,0,0,0,0,0,0,0,0,28184
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1677,240,0,0,1677,240,631,0,0,0,0,0,5,0,5,0,2313
Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37
Mongolia,1,1,0,0,1,1,5,0,0,0,0,0,292,0,292,0,298
Montenegro,12874,12874,0,0,12874,12874,38,0,0,0,0,0,4312,0,4312,3938,21162
Montserrat,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Morocco,736,736,0,0,736,736,615,0,0,0,0,0,0,0,0,0,1351
Mozambique,4079,2404,0,0,4079,2404,9602,5,0,0,0,0,0,0,0,0,13686
Myanmar,0,0,0,0,0,0,0,0,339200,0,339200,0,808075,0,808075,0,1147275
Namibia,6049,6049,0,0,6049,6049,928,41,0,0,0,0,0,0,0,0,7018
Nepal,70268,55268,2386,0,72654,55268,928,0,0,0,0,0,800000,0,800000,541,874123
Netherlands,74598,0,0,0,74598,0,10420,0,0,0,0,0,2005,0,2005,0,87023
New Zealand,1934,0,0,0,1934,0,240,0,0,0,0,0,0,0,0,0,2174
Nicaragua,86,40,0,0,86,40,6,0,0,0,0,0,0,0,0,0,92
Niger,302,302,0,0,302,302,123,0,0,0,0,0,0,0,0,0,425
Nigeria,8806,8806,0,0,8806,8806,1529,0,0,0,0,0,0,0,0,0,10335
Norway,40691,0,0,0,40691,0,11153,0,0,0,0,0,2773,0,2773,0,54617
Occupied Palestinian Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,83,83,0,0,83,83,43,0,0,0,0,0,0,0,0,0,126
Pakistan,1702700,1702700,0,0,1702700,1702700,1624,3449,452932,0,452932,620362,0,0,0,0,2781067
Palau,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
Panama,2262,2055,15000,2000,17262,4055,794,0,0,0,0,0,3,0,3,0,18059
Papua New Guinea,4810,2559,4567,0,9377,2559,1,0,0,0,0,0,0,0,0,0,9378
Paraguay,124,21,0,0,124,21,9,0,0,0,0,0,0,0,0,0,133
Peru,1144,113,0,0,1144,113,494,0,0,0,0,0,0,0,0,0,1638
Philippines,125,19,0,0,125,19,58,0,159465,0,159465,0,0,0,0,68,159716
Poland,15847,0,0,0,15847,0,2886,0,0,0,0,0,763,0,763,0,19496
Portugal,408,0,0,0,408,0,214,0,0,0,0,0,31,0,31,0,653
Qatar,80,80,0,0,80,80,49,0,0,0,0,0,1200,0,1200,0,1329
Rep. of Korea,401,21,0,0,401,21,1169,0,0,0,0,0,179,0,179,0,1749
Rep. of Moldova,146,146,0,0,146,146,49,0,0,0,0,0,2073,0,2073,0,2268
Romania,1005,121,0,0,1005,121,753,0,0,0,0,0,275,0,275,0,2033
Russian Federation,3914,2727,0,0,3914,2727,962,41,28450,0,28450,166,178000,0,178000,10246,221779
Rwanda,55325,55325,0,0,55325,55325,296,8524,0,0,0,0,0,0,0,0,64145
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,5
Saint Maarten,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3
Saint Vincent and the Grenadines,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,572,572,27,27,599,599,80,0,0,0,0,0,70000,0,70000,0,70679
Senegal,20644,20644,0,0,20644,20644,2263,0,0,0,0,0,0,0,0,0,22907
Serbia (and Kosovo: S/RES/1244 (1999)),70707,70705,0,0,70707,70705,399,392,228215,0,228215,845,8500,0,8500,519,309577
Sierra Leone,8092,8079,0,0,8092,8079,64,0,0,0,0,0,0,0,0,0,8156
Singapore,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3
Slovakia,546,0,0,0,546,0,185,0,0,0,0,0,63,0,63,46,840
Slovenia,142,0,0,0,142,0,103,0,0,0,0,0,0,0,0,0,245
Somalia,2099,2099,0,0,2099,2099,6016,212,1356845,0,1356845,0,0,0,0,11,1365183
South Africa,57899,0,0,0,57899,0,219368,0,0,0,0,0,0,0,0,0,277267
South Sudan,105023,99958,0,0,105023,99958,88,906,350473,209688,560161,0,0,0,0,0,666178
Spain,4228,0,0,0,4228,0,2670,0,0,0,0,0,36,0,36,0,6934
Sri Lanka,188,188,0,0,188,188,204,2365,138401,0,138401,144577,0,0,0,0,285735
Sudan,113439,77515,25976,4800,139415,82315,6912,50074,2339460,83060,2422520,279325,0,0,0,0,2898246
Suriname,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Swaziland,759,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,759
Sweden,86615,0,0,0,86615,0,18138,0,0,0,0,0,10344,0,10344,0,115097
Switzerland,50416,0,0,0,50416,0,16915,0,0,0,0,0,54,0,54,0,67385
Syrian Arab Rep.,755445,105699,0,0,755445,105699,1830,0,0,0,0,0,231000,0,231000,0,988275
Tajikistan,3323,2128,0,0,3323,2128,2027,1,0,0,0,0,2300,0,2300,0,7651
The former Yugoslav Republic of Macedonia,801,801,329,329,1130,1130,389,0,0,0,0,0,1154,0,1154,0,2673
Thailand,89253,89253,0,0,89253,89253,13357,0,0,0,0,0,506197,0,506197,0,608807
Timor-Leste,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Togo,19270,9272,0,0,19270,9272,377,76,0,0,0,0,0,0,0,0,19723
Tonga,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Trinidad and Tobago,22,22,0,0,22,22,20,0,0,0,0,0,0,0,0,0,42
Tunisia,3048,2972,1049,1049,4097,4021,555,5,0,0,0,0,0,0,0,0,4657
Turkey,14465,14465,0,0,14465,14465,10964,0,0,0,0,0,780,0,780,9576,35785
Turkmenistan,59,59,0,0,59,59,0,0,0,0,0,0,11000,0,11000,0,11059
Uganda,139448,139448,0,0,139448,139448,23453,20,29776,0,29776,95822,0,0,0,0,288519
Ukraine,2676,298,500,0,3176,298,3622,0,0,0,0,0,39817,0,39817,0,46615
United Arab Emirates,677,677,0,0,677,677,45,0,0,0,0,0,0,0,0,0,722
United Kingdom,193510,0,0,0,193510,0,16907,0,0,0,0,0,205,,205,0,210622
United Rep. of Tanzania,131243,109016,0,0,131243,109016,705,0,0,0,0,0,0,0,0,162256,294204
United States,264763,0,0,0,264763,0,11721,0,0,0,0,0,0,0,0,0,276484
