Origin,Pending start 2011,of who UNHCR-assisted,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,of who UNHCR-assisted.1,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Afghanistan,38609,11015,50079,9361,9214,18776,12068,49418,39203,10606,25.06224732938877,49.73093089877112,24.420251730138816,1.538501385687275
Albania,1714,4,3916,379,183,2573,532,3667,2203,2,12.089314194577353,17.926634768740033,14.507772020725387,28.52975495915986
Algeria,1859,67,5875,206,85,4188,1457,5936,2187,157,4.59924090198705,6.496985934360349,24.54514824797844,17.64389456697149
Andorra,2,2,0,0,0,0,0,0,0,0,..,..,..,-100
Angola,866,161,1473,164,149,1261,105,1679,783,176,10.419313850063533,19.8856416772554,6.253722453841572,-9.584295612009237
Antigua and Barbuda,28,0,37,11,0,15,7,33,33,0,42.30769230769231,42.30769230769231,21.21212121212121,17.857142857142858
Argentina,96,18,119,10,1,68,73,152,60,7,12.658227848101266,13.924050632911392,48.026315789473685,-37.5
Armenia,3384,58,7814,501,311,7185,821,8818,2657,37,6.264849318494435,10.153807677879206,9.310501247448402,-21.483451536643024
Aruba,1,0,0,0,0,0,2,2,0,0,..,..,100,-100
Australia,11,0,16,1,1,14,6,22,8,0,6.25,12.5,27.27272727272727,-27.27272727272727
Austria,2,1,9,0,0,3,3,6,2,0,0,0,50,0
Azerbaijan,2153,29,3015,385,129,2190,318,3022,2193,40,14.238165680473372,19.00887573964497,10.522832561217736,1.8578727357176035
Bahamas,30,0,48,13,0,20,13,46,37,0,39.39393939393939,39.39393939393939,28.26086956521739,23.333333333333332
Bahrain,31,1,245,138,0,55,18,211,76,3,71.50259067357513,71.50259067357513,8.530805687203792,145.16129032258064
Bangladesh,6723,386,14924,623,113,11914,749,13399,5252,335,4.924901185770751,5.818181818181818,5.589969400701545,-21.88011304477168
Barbados,63,0,78,25,0,29,14,68,75,0,46.2962962962963,46.2962962962963,20.588235294117645,19.047619047619047
Belarus,716,13,2171,347,52,944,638,1981,914,14,25.837676842889056,29.709605361131796,32.20595658758203,27.6536312849162
Belgium,10,2,13,4,0,9,18,31,4,1,30.76923076923077,30.76923076923077,58.06451612903226,-60
Belize,13,1,48,9,0,18,14,41,18,0,33.33333333333333,33.33333333333333,34.146341463414636,38.46153846153847
Benin,280,23,384,24,9,200,48,281,274,32,10.300429184549357,14.163090128755366,17.08185053380783,-2.142857142857143
Bermuda,1,0,4,0,0,0,0,0,5,0,..,..,..,400
Bhutan,1037,1,140,38,60,47,29,174,1020,9,26.20689655172414,67.58620689655173,16.666666666666664,-1.639344262295082
Bolivia (Plurinational State of),146,41,277,41,7,168,74,290,153,37,18.98148148148148,22.22222222222222,25.517241379310345,4.794520547945205
Bosnia and Herzegovina,1188,13,3224,76,66,2226,444,2812,1955,7,3.209459459459459,5.996621621621621,15.789473684210526,64.56228956228956
Botswana,202,5,158,74,0,98,18,190,175,1,43.02325581395349,43.02325581395349,9.473684210526317,-13.366336633663368
Brazil,267,15,595,70,6,262,321,659,201,5,20.710059171597635,22.485207100591715,48.710166919575116,-24.719101123595504
Brunei Darussalam,1,0,2,0,0,1,0,1,1,0,0,0,0,0
Bulgaria,134,0,450,65,13,140,197,415,180,1,29.81651376146789,35.77981651376147,47.46987951807229,34.32835820895522
Burkina Faso,506,12,1299,116,26,726,168,1036,350,35,13.36405529953917,16.359447004608295,16.216216216216218,-30.8300395256917
Burundi,7002,5723,6407,2191,41,1279,252,3763,9508,7431,62.403873540301916,63.57163201367132,6.696784480467712,35.78977435018566
Cambodia,134,74,231,52,1,72,49,174,186,75,41.6,42.4,28.160919540229884,38.80597014925373
Cameroon,2339,419,4016,802,87,1996,732,3613,2501,666,27.798960138648184,30.814558058925478,20.260171602546357,6.926036767849508
Canada,6,4,48,11,0,30,27,68,8,2,26.82926829268293,26.82926829268293,39.705882352941174,33.33333333333333
Cape Verde,10,2,24,1,0,16,2,19,9,2,5.88235294117647,5.88235294117647,10.526315789473683,-10
Cayman Islands,0,0,2,0,0,0,1,1,2,0,..,..,100,..
Central African Rep.,1500,1473,2530,1468,7,418,462,2355,1808,1777,77.54886423666139,77.91864764923402,19.61783439490446,20.533333333333335
Chad,2679,2258,2317,499,39,756,307,1601,3141,2364,38.56259659969088,41.57650695517774,19.175515302935665,17.245240761478165
Chile,176,33,143,11,4,111,40,166,124,9,8.73015873015873,11.904761904761903,24.096385542168676,-29.545454545454547
China,8890,364,28310,11104,702,10832,11485,34121,11377,273,49.05026945843272,52.151250110433786,33.6596231060051,27.975253093363328
" - Hong Kong SAR, China",4,1,27,0,1,17,7,25,6,0,0,5.555555555555555,28.000000000000004,50
" - Macao SAR, China",0,0,4,0,0,2,1,3,1,0,0,0,33.33333333333333,..
Colombia,60176,54608,21322,4668,117,11140,1946,17871,42587,39566,29.312401883830457,30.047095761381478,10.889150019584802,-29.22926083488434
Comoros,11,4,1442,54,5,1216,4,1279,33,12,4.235294117647059,4.627450980392156,0.3127443315089914,200
Congo,3013,2302,3345,493,135,2097,2077,4802,1977,607,18.091743119266056,23.045871559633028,43.25281132861308,-34.384334550282105
Cook Islands,1,0,0,0,0,1,0,1,0,0,0,0,0,-100
Costa Rica,76,1,55,10,3,54,21,88,40,1,14.925373134328357,19.402985074626866,23.863636363636363,-47.368421052631575
Côte d'Ivoire,6500,3012,33532,1144,5477,3416,9502,19539,18226,14703,11.397828036265818,65.96592607352795,48.63094324172169,180.4
Croatia,356,1,617,24,5,171,55,255,745,1,12,14.499999999999998,21.568627450980394,109.26966292134833
Cuba,4313,3815,1988,340,496,1559,462,2857,928,426,14.19624217118998,34.906054279749476,16.17080854042702,-78.48365406909343
Cyprus,4,1,6,0,0,3,5,8,2,0,0,0,62.5,-50
Czech Rep.,1161,1,121,50,1,392,199,642,662,0,11.286681715575622,11.512415349887133,30.99688473520249,-42.9801894918174
Dem. People's Rep. of Korea,384,18,702,210,12,105,154,481,549,35,64.22018348623854,67.88990825688074,32.016632016632016,42.96875
Dem. Rep. of the Congo,43967,38563,35571,11648,555,9958,5257,27415,52324,41964,52.56080501782411,55.06520463877984,19.17563377712931,19.00743739622899
Denmark,4,1,6,0,0,7,2,9,3,1,0,0,22.22222222222222,-25
Djibouti,267,2,293,142,3,87,42,274,287,5,61.206896551724135,62.5,15.328467153284672,7.490636704119851
Dominica,19,0,26,3,2,37,10,52,10,0,7.142857142857142,11.904761904761903,19.230769230769234,-47.368421052631575
Dominican Rep.,416,74,696,25,1,519,183,728,353,17,4.587155963302752,4.770642201834862,25.137362637362635,-15.144230769230768
Ecuador,212,12,903,47,16,139,609,811,259,20,23.26732673267327,31.18811881188119,75.0924784217016,22.169811320754718
Egypt,1656,193,5302,1466,81,2041,762,4352,2626,362,40.85841694537346,43.11594202898551,17.509191176470587,58.574879227053145
El Salvador,1548,55,5330,576,35,2150,3604,6365,1636,91,20.862006519377037,22.129663165519737,56.62215239591516,5.684754521963824
Equatorial Guinea,86,18,56,16,6,37,21,80,50,20,27.11864406779661,37.28813559322034,26.25,-41.86046511627907
Eritrea,13913,5661,25543,17207,2441,3591,1965,25204,14618,5242,74.04363354705453,84.54752786264469,7.796381526741787,5.067203335010422
