Country/territory of asylum/residence,Population for which demographic data is available,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Population of concern to UNHCR end 2011,Coverage Age/sex,Coverage Sex only
Afghanistan,1545191,0.11,0.26,0.16,0.53,0.44,0.03,0.49,0.49,0.49,0.49,0.51,0.39,..,0.5,1548374,1,1
Albania,106,0.11,0.1,0.09,0.31,0.61,0.08,0.5,0.18,0.5,0.39,0.4,0.63,..,0.42,106,1,1
Algeria1,959,0.09,0.03,0.02,0.15,0.85,0.01,0.46,0.46,0.5,0.46,0.27,0,..,0.3,94964,0.01,0.01
Angola,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23357,0,0
Argentina,2423,0.02,0.04,0.07,0.13,0.84,0.03,0.51,0.55,0.34,0.43,0.32,0.59,..,0.34,4578,0.53,0.53
Armenia,2954,0.02,0.03,0.04,0.08,0.68,0.24,0.38,0.49,0.5,0.47,0.47,0.62,..,0.51,85892,0.03,0.03
Aruba,4,0,0,0,0,1,0,..,..,..,..,0.5,..,..,0.5,4,1,1
Australia,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28676,0,0
Austria,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72017,0,0
Azerbaijan,600985,0.09,0.12,0.12,0.33,0.55,0.11,0.5,0.52,0.51,0.51,0.51,0.5,..,0.51,602711,1,1
Bahamas,42,0.02,0.12,0.07,0.21,0.76,0.02,1,0,0.67,0.33,0.31,0,..,0.31,42,1,1
Bahrain,359,0.11,0.09,0.09,0.3,0.65,0.05,0.63,0.47,0.65,0.58,0.47,0.39,..,0.5,359,1,1
Bangladesh,29671,0.15,0.24,0.18,0.57,0.41,0.02,0.5,0.49,0.51,0.5,0.54,0.49,..,0.51,229671,0.13,0.13
Belarus,645,0.05,0.11,0.12,0.29,0.67,0.04,0.38,0.54,0.54,0.51,0.35,0.62,..,0.41,8036,0.08,0.08
Belgium,22346,..,..,..,..,..,..,..,..,..,..,..,..,0.42,0.42,42105,0,0.53
Belize,133,0.05,0.07,0.06,0.18,0.7,0.12,0.43,0.56,0.38,0.46,0.43,0.13,..,0.4,133,1,1
Benin,7575,0.13,0.14,0.1,0.37,0.62,0.01,0.5,0.46,0.51,0.49,0.37,0.6,..,0.42,7575,1,1
Bolivia (Plurinational State of),734,0.01,0.05,0.12,0.18,0.8,0.02,0.43,0.46,0.47,0.47,0.4,0.44,..,0.41,734,1,1
Bonaire,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..
