Country/territory of asylum/residence,Refugees for which demographic data is available,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Refugees and people in refugee-like situation end 2011,Coverage Age/sex,Coverage Sex only
Afghanistan,3009,0.14,0.19,0.15,0.49,0.48,0.03,0.48,0.49,0.51,0.49,0.52,0.36,..,0.5,3009,1,1
Albania,82,0.13,0.12,0.06,0.32,0.62,0.06,0.55,0.2,0.8,0.46,0.35,0.6,..,0.4,82,1,1
Algeria 1,143,0.19,0.09,0.06,0.34,0.66,0.01,0.37,0.46,0.63,0.44,0.39,0,..,0.41,94148,0,0
Angola,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16223,0,0
Argentina,1201,0,0.03,0.07,0.1,0.84,0.06,0.75,0.53,0.42,0.46,0.31,0.61,..,0.34,3361,0.36,0.36
Armenia,2918,0.02,0.03,0.04,0.08,0.68,0.24,0.39,0.5,0.5,0.48,0.47,0.62,..,0.51,2918,1,1
Aruba,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..
Antigua and Barbuda,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..
Australia,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23434,0,0
Austria,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47073,0,0
Azerbaijan,1730,0.11,0.17,0.11,0.39,0.58,0.03,0.49,0.5,0.45,0.49,0.41,0.57,..,0.44,1730,1,1
Bahamas,28,0.04,0.18,0.11,0.32,0.64,0.04,1,0,0.67,0.33,0.44,0,..,0.39,28,1,1
Bahrain,199,0.16,0.09,0.08,0.32,0.63,0.05,0.58,0.61,0.73,0.63,0.48,0.4,..,0.52,199,1,1
Bangladesh,29669,0.15,0.24,0.18,0.57,0.41,0.02,0.5,0.49,0.51,0.5,0.54,0.49,..,0.51,229669,0.13,0.13
Belarus,595,0.05,0.11,0.11,0.28,0.67,0.05,0.38,0.54,0.6,0.53,0.36,0.61,..,0.42,595,1,1
