Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Afghanistan,R,Individual accomm.,Afghanistan : Dispersed in the country / territory,5805,0.04,0.32,0.16,0.52,0.45,0.03,0.5,0.5,0.5,0.5,0.51,0.5,..,0.5,5805,1.0,1.0
Afghanistan,R,Individual accomm.,Badakhshan : Wilayat - Province,1528,0.04,0.16,0.12,0.31,0.67,0.02,0.49,0.51,0.35,0.45,0.17,0.31,..,0.26,1528,1.0,1.0
Afghanistan,R,Individual accomm.,Badghis : Wilayat - Province,1036,0.1,0.24,0.16,0.5,0.47,0.03,0.56,0.51,0.49,0.51,0.42,0.23,..,0.46,1036,1.0,1.0
Afghanistan,R,Individual accomm.,Baghlan : Wilayat - Province,24222,0.09,0.28,0.16,0.53,0.43,0.03,0.48,0.49,0.47,0.48,0.5,0.37,..,0.49,24222,1.0,1.0
Afghanistan,R,Individual accomm.,Bamyan : Wilayat - Province,1973,0.07,0.19,0.15,0.42,0.53,0.05,0.59,0.48,0.46,0.49,0.47,0.39,..,0.47,1973,1.0,1.0
Afghanistan,R,Individual accomm.,Day Kundi : Wolaswalei - District,2515,0.04,0.3,0.18,0.52,0.45,0.03,0.52,0.5,0.44,0.48,0.49,0.42,..,0.48,2515,1.0,1.0
Afghanistan,R,Individual accomm.,Farah : Wilayat - Province,2772,0.15,0.27,0.17,0.58,0.39,0.03,0.5,0.47,0.51,0.49,0.51,0.43,..,0.49,2772,1.0,1.0
Afghanistan,R,Individual accomm.,Faryab : Wilayat - Province,10152,0.1,0.24,0.14,0.48,0.48,0.04,0.53,0.52,0.49,0.51,0.53,0.62,..,0.52,10152,1.0,1.0
Afghanistan,R,Individual accomm.,Ghazni : Wilayat - Province,23409,0.06,0.37,0.13,0.56,0.41,0.04,0.51,0.49,0.46,0.48,0.5,0.39,..,0.48,23409,1.0,1.0
Afghanistan,R,Individual accomm.,Hilmand : Wilayat - Province,13143,0.12,0.31,0.16,0.59,0.37,0.03,0.49,0.49,0.45,0.48,0.5,0.36,..,0.48,13143,1.0,1.0
Afghanistan,R,Individual accomm.,Jawzjan : Wilayat - Province,24689,0.09,0.23,0.14,0.46,0.49,0.05,0.5,0.51,0.51,0.5,0.5,0.59,..,0.51,24689,1.0,1.0
Afghanistan,R,Individual accomm.,Kapisa : Wilayat - Province,3395,0.1,0.25,0.17,0.53,0.45,0.03,0.5,0.49,0.49,0.49,0.48,0.3,..,0.48,3395,1.0,1.0
Afghanistan,R,Individual accomm.,Khost : Wilayat - Province,8785,0.07,0.29,0.19,0.54,0.42,0.04,0.47,0.47,0.44,0.46,0.52,0.38,..,0.48,8785,1.0,1.0
