Country/territory of asylum,Camps,Centres,Individual accommodation (private),Settlement,Undefined/ unknown,Total
Afghanistan,0,0,3009,0,0,3009
Albania,0,19,63,0,0,82
Algeria1,90000,0,143,0,4005,94148
Angola,0,0,0,0,16223,16223
Antigua and Barbuda,0,0,0,0,0,0
Argentina,0,0,1201,0,2160,3361
Armenia,0,959,11,0,1948,2918
Aruba,0,0,0,0,0,0
Australia,0,0,0,0,23434,23434
Austria,0,0,0,0,47073,47073
Azerbaijan,0,0,1730,0,0,1730
Bahamas,0,0,28,0,0,28
Bahrain,0,0,199,0,0,199
Bangladesh,29435,0,234,0,200000,229669
Belarus,0,0,595,0,0,595
Belgium,0,0,0,0,22402,22402
Belize,0,0,78,0,0,78
Benin,2828,200,4189,0,0,7217
Bolivia (Plurinational State of),0,0,716,0,0,716
Bonaire,0,0,0,0,0,0
Bosnia and Herzegovina,28,0,0,0,6905,6933
Botswana,3312,0,0,0,0,3312
Brazil,0,0,4477,0,0,4477
British Virgin Islands,0,0,2,0,0,2
Brunei Darussalam,0,0,0,0,0,0
Bulgaria,0,5512,0,0,176,5688
Burkina Faso,0,0,546,0,0,546
Burundi,22423,0,13236,0,0,35659
Cambodia,0,0,64,0,0,64
Cameroon,3747,0,93406,3220,0,100373
Canada,0,0,0,0,164883,164883
Cayman Islands,0,0,3,0,0,3
Central African Rep.,14244,0,2486,0,0,16730
Chad,340932,0,421,0,25141,366494
Chile,0,0,0,0,1674,1674
China,0,300895,123,0,0,301018
"-  Hong Kong SAR, China",0,0,152,0,0,152
"-  Macao SAR, China",0,0,1,0,0,1
Colombia,0,0,0,0,219,219
Comoros,0,0,0,0,0,0
"Congo, Rep. of",0,0,15490,125742,0,141232
Costa Rica,0,0,20057,0,0,20057
Côte d'Ivoire,0,0,24221,0,0,24221
Croatia,0,386,438,0,0,824
Cuba,0,364,20,0,0,384
Curacao,0,0,6,0,0,6
Cyprus,0,0,0,0,3503,3503
Czech Rep.,0,0,0,0,2449,2449
Dem. Rep. of the Congo,0,0,17721,135028,0,152749
Denmark,0,0,0,0,13399,13399
Djibouti,19493,0,847,0,0,20340
Dominica,0,0,0,0,0,0
Dominican Rep.,0,0,595,0,0,595
Ecuador,0,0,0,0,123436,123436
Egypt,0,0,95087,0,0,95087
El Salvador,0,0,38,0,0,38
Equatorial Guinea,0,0,0,0,0,0
Eritrea,4645,0,74,0,0,4719
Estonia,0,0,50,0,0,50
Ethiopia,260223,12096,2535,12636,1354,288844
Fiji,0,0,7,0,0,7
Finland,0,0,0,0,9175,9175
France,0,0,0,0,210207,210207
Gabon,0,0,1773,0,0,1773
Gambia,0,0,9528,0,0,9528
Georgia,0,5,10,0,447,462
Germany,0,0,0,0,571685,571685
Ghana,966,0,535,10883,1204,13588
Greece,0,0,0,0,1573,1573
Grenada,0,0,3,0,0,3
Guatemala,0,0,0,0,147,147
Guinea,12875,3440,294,0,0,16609
Guinea-Bissau,0,0,4349,396,3055,7800
Guyana,0,0,7,0,0,7
Haiti,0,0,0,0,0,0
Honduras,0,0,17,0,0,17
Hungary,0,0,0,0,5106,5106
Iceland,0,0,58,0,0,58
India,68152,0,16966,0,100000,185118
Indonesia,0,79,880,17,30,1006
"Iran, Islamic Rep. of",29874,0,856594,0,0,886468
Iraq,10658,0,24531,0,0,35189
Ireland,0,0,0,0,8249,8249
Israel,0,0,41235,0,0,41235
Italy,0,0,0,0,58060,58060
Jamaica,0,0,20,0,0,20
Japan,0,0,0,0,2649,2649
Jordan2,0,0,451009,0,0,451009
Kazakhstan,0,0,616,0,0,616
Kenya,522440,0,44047,0,0,566487
Kuwait,0,0,335,0,0,335
Kyrgyzstan,0,0,6095,0,0,6095
Lao People's Dem. Rep.,0,0,0,0,0,0
Latvia,0,0,0,0,95,95
Lebanon,0,0,8990,0,0,8990
Lesotho,0,0,34,0,0,34
Liberia,32172,0,96121,0,0,128293
Libya,0,7540,0,0,2590,10130
Liechtenstein,0,0,0,0,94,94
Lithuania,0,30,781,0,10,821
Luxembourg,0,0,0,0,2855,2855
Madagascar,0,0,9,0,0,9
Malawi,6308,0,0,0,0,6308
Malaysia,0,0,0,0,86680,86680
Mali,48,0,15576,0,0,15624
Malta,0,2125,1314,0,3513,6952
Mauritania,0,0,535,0,26000,26535
Mauritius,0,0,0,0,0,0
Mexico,0,0,1395,0,282,1677
Micronesia (Federated States of),0,0,0,0,0,0
Monaco,0,0,0,0,37,37
Mongolia,0,0,1,0,0,1
Montenegro,1462,0,11412,0,0,12874
Montserrat,0,0,0,0,0,0
Morocco,0,0,736,0,0,736
Mozambique,2404,0,1675,0,0,4079
Myanmar,0,0,0,0,0,0
Namibia,0,24,0,5222,803,6049
