(FROM),(TO),arrivals
Central African Rep.,Dem. Rep. of the Congo,210
Chad,Sudan,200
Côte d'Ivoire,Egypt,140
Côte d'Ivoire,Gambia,110
Côte d'Ivoire*,Ghana,17990
Côte d'Ivoire,Guinea,2220
Côte d'Ivoire,Israel,600
Côte d'Ivoire,Liberia,199240
Côte d'Ivoire,Mali,150
Côte d'Ivoire,Togo,5080
Dem. Rep. of the Congo,Central African Rep.,180
Dem. Rep. of the Congo,Uganda,2010
Eritrea,Ethiopia,11030
Eritrea,Israel,14430
Iraq,Yemen,100
Iraq,Egypt,600
Iraq,Jordan,6500
Iraq,Lebanon,2000
Iraq,Syrian Arab Rep.,12920
Libya,Chad,500
Libya,Tunisia,150000
Nigeria,Cameroon,120
Senegal,Gambia,1000
Somalia,Djibouti,5670
Somalia,Ethiopia,100960
Somalia,Kenya,163140
Somalia,Yemen,27350
Sri Lanka,India,470
Sudan,Chad,5200
Sudan,Ethiopia,19180
Sudan,Israel,870
Sudan,South Sudan,76850
