Country/territory of asylum,Refugees,Of whom assisted by UNHCR,People in refugee-like situations,Of whom assisted by UNHCR,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,IDPs protected/ assisted by UNHCR excl IDP-like,Persons in IDP-like situations,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons excl stateless like,Persons in stateless-like situations,Stateless persons,Various,Total population of concern
Afghanistan,2664436,2562902,0,0,2664436,2562902,39203,71145,447547,0,447547,75453,0,0,0,952531,4250315
Albania,13551,6,0,0,13551,6,2203,0,0,0,0,0,0,0,0,613,16367
Algeria,6120,93,1,1,6121,94,2187,0,0,0,0,0,0,0,0,0,8308
Andorra,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Angola,128664,100523,0,0,128664,100523,783,3967,0,0,0,0,0,0,0,0,133414
Antigua and Barbuda,32,0,0,0,32,0,33,0,0,0,0,0,0,0,0,0,65
Argentina,518,12,0,0,518,12,60,0,0,0,0,0,0,0,0,0,578
Armenia,16486,54,1,1,16487,55,2657,0,0,0,0,0,0,0,0,82938,102082
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,39,0,0,0,39,0,8,0,0,0,0,0,0,0,0,0,47
Austria,11,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,13
Azerbaijan,16162,1997,0,0,16162,1997,2193,0,599192,0,599192,0,0,0,0,0,617547
Bahamas,185,0,0,0,185,0,37,0,0,0,0,0,0,0,0,0,222
Bahrain,215,0,0,0,215,0,76,0,0,0,0,0,0,0,0,0,291
Bangladesh,10052,49,4,4,10056,53,5252,0,0,0,0,0,0,0,0,0,15308
Barbados,45,0,0,0,45,0,75,0,0,0,0,0,0,0,0,0,120
Belarus,5925,18,0,0,5925,18,914,0,0,0,0,0,0,0,0,0,6839
Belgium,90,0,0,0,90,0,4,0,0,0,0,0,0,0,0,0,94
Belize,32,0,0,0,32,0,18,0,0,0,0,0,0,0,0,0,50
Benin,461,21,0,0,461,21,274,0,0,0,0,0,0,0,0,0,735
Bermuda,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Bhutan,55603,55006,2386,0,57989,55006,1020,0,0,0,0,0,0,0,0,0,59009
Bolivia (Plurinational State of),611,13,0,0,611,13,153,0,0,0,0,0,0,0,0,0,764
Bosnia and Herzegovina,58515,23816,63,63,58578,23879,1955,449,113000,0,113000,365,0,0,0,54034,228381
Botswana,85,0,0,0,85,0,175,0,0,0,0,0,0,0,0,0,260
Brazil,1045,0,0,0,1045,0,201,0,0,0,0,0,0,0,0,0,1246
Brunei Darussalam,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Bulgaria,2327,14,0,0,2327,14,180,0,0,0,0,0,0,0,0,0,2507
Burkina Faso,1267,5,4,4,1271,9,350,0,0,0,0,0,0,0,0,0,1621
Burundi,101288,66846,0,0,101288,66846,9508,4378,78796,0,78796,0,0,0,0,162506,356476
Cambodia,15184,104,21,21,15205,125,186,0,0,0,0,0,0,0,0,0,15391
Cameroon,15163,2142,0,0,15163,2142,2501,0,0,0,0,0,0,0,0,0,17664
Canada,105,1,4,4,109,5,8,0,0,0,0,0,0,0,0,0,117
Cape Verde,27,2,0,0,27,2,9,0,0,0,0,0,0,0,0,0,36
Cayman Islands,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3
Central African Rep.,160736,146679,2126,0,162862,146679,1808,8974,105206,0,105206,66545,0,0,0,0,345395
Chad,18720,16095,23920,4870,42640,20965,3141,76,124000,0,124000,7000,0,0,0,0,176857
Chile,1189,6,0,0,1189,6,124,0,0,0,0,0,0,0,0,0,1313
China,190369,299,0,0,190369,299,11377,0,0,0,0,0,0,0,0,0,201746
" - Hong Kong SAR, China",15,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,21
" - Macao SAR, China",10,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,11
Colombia,113605,68461,282344,21900,395949,90361,42587,24,3888309,0,3888309,0,0,0,0,0,4326869
Comoros,422,1,0,0,422,1,33,0,0,0,0,0,0,0,0,0,455
Congo,12839,1985,0,0,12839,1985,1977,742,0,0,0,0,0,0,0,8651,24209
Cook Islands,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Costa Rica,331,0,0,0,331,0,40,0,0,0,0,0,0,0,0,0,371
