End of year,Refugees,Asylum-seekers (pending cases),Returned refugees,IDPs protected/assisted,Returned IDPs,Stateless persons,Others of concern,Total
1997,12015400,1028200,926600,4573100,100300,..,1404100,20047700
1998,11480900,977800,1016400,5063900,207200,..,1378500,20124700
1999,11687200,1027400,1599100,3968600,1048400,..,1491100,20821800
2000,12129600,1087500,767500,5998500,369100,..,1653900,22006100
2001,12116800,1072700,462400,5096500,241000,..,1039500,20028900
2002,10594100,1093500,2426000,4646600,1179000,..,953300,20892500
2003,9592800,997600,1094900,4181700,237800,..,905300,17010100
2004,9574800,885200,1434400,5426500,146500,1455900,597000,19520300
2005,8662000,802100,1105600,6616800,519400,2383700,960400,21050000
2006,9877700,743900,733700,12794300,1864200,5806000,1045500,32865300
2007,11391000,740100,730600,13740200,2070100,2937300,68700,31678000
2008,10489800,825800,603800,14442200,1361400,6572200,166900,34462100
2009,10396500,983900,251500,15628100,2229500,6559600,411700,36460800
2010,10549700,837500,197700,14697900,2923300,3463000,1255600,33924700
2011,10404800,895300,531900,15473400,3245800,3477100,1411800,35440100
