End of year,Refugees,Asylum-seekers (pending cases),Returned refugees,IDPs protected/assisted,Returned IDPs,Stateless persons,Others of concern,Total
1997,0.599,0.051,0.046,0.228,0.005,..,0.07,0.999
1998,0.57,0.049,0.051,0.252,0.01,..,0.068,1
1999,0.561,0.049,0.077,0.191,0.05,..,0.072,1
2000,0.551,0.049,0.035,0.273,0.017,..,0.075,1
2001,0.605,0.054,0.023,0.254,0.012,..,0.052,1
2002,0.507,0.052,0.116,0.222,0.056,..,0.046,1
2003,0.564,0.059,0.064,0.246,0.014,..,0.053,1
2004,0.491,0.045,0.073,0.278,0.008,0.075,0.031,1
2005,0.411,0.038,0.053,0.314,0.025,0.113,0.046,1
2006,0.301,0.023,0.022,0.389,0.057,0.177,0.032,1
2007,0.36,0.023,0.023,0.434,0.065,0.093,0.002,1
2008,0.304,0.024,0.018,0.419,0.04,0.191,0.005,1
2009,0.285,0.027,0.007,0.429,0.061,0.18,0.011,1
2010,0.311,0.025,0.006,0.433,0.086,0.102,0.037,1
2011,0.294,0.025,0.015,0.437,0.092,0.098,0.04,1
