Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Afghanistan,6434,6434,0,29,0,0,0,29,3448,0,0,0,0,0,0,3454,6902,3009,3009
Albania,76,76,0,5,0,2,0,7,0,0,0,0,0,0,0,1,1,82,82
Algeria,94148,90143,0,12,0,5,2,19,0,0,9,9,0,0,0,10,19,94148,90143
Angola,15155,4997,0,1068,0,0,0,1068,1,1,0,0,0,0,0,0,1,16223,5072
Argentina,3283,241,0,84,28,0,0,112,0,0,0,0,5,29,0,0,34,3361,192
Armenia,3292,3271,0,49,0,0,0,49,0,0,1,1,0,419,0,3,423,2918,2898
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,21800,0,0,5726,9226,0,0,14952,685,0,0,0,0,0,0,0,685,23434,0
Austria,42630,0,0,5595,0,0,0,5595,29,0,0,0,0,0,0,0,29,47073,0
Azerbaijan,1891,1891,0,58,0,32,20,110,23,23,54,54,0,0,3,191,271,1730,1730
Bahamas,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27
Bahrain,165,165,0,47,0,4,0,51,0,0,17,17,0,0,0,0,17,199,199
Bangladesh,229253,29253,0,1,0,494,2,497,2,0,0,0,0,0,66,13,81,229669,29669
Belarus,589,231,0,14,0,0,0,14,0,0,0,0,0,4,3,1,8,595,246
Belgium,17923,0,0,5072,29,0,3,5104,2,0,0,0,9,1162,0,44,1217,22402,500
Belize,134,33,0,0,0,0,0,0,0,0,0,0,0,56,0,0,56,78,66
Benin,7139,7139,0,148,0,75,0,223,105,105,24,24,0,4,15,0,148,7217,7217
Bolivia (Plurinational State of),695,283,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,716,154
Bosnia and Herzegovina,7014,1524,0,0,0,1,263,264,281,281,41,41,0,0,0,77,399,6933,1737
Botswana,2986,2986,0,156,0,74,266,496,90,88,45,45,0,0,23,14,172,3312,3312
Brazil,4359,2820,0,101,23,0,0,124,6,6,0,0,4,0,0,0,10,4477,2772
British Virgin Islands,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bulgaria,5530,0,0,192,0,0,0,192,0,0,0,0,0,34,0,0,34,5688,0
Burkina Faso,531,531,0,30,0,8,0,38,2,2,4,4,0,14,2,1,23,546,546
Burundi,29365,29365,0,5438,0,820,845,7103,490,490,53,53,0,0,98,168,809,35659,35659
Cambodia,128,128,0,7,0,0,0,7,21,21,59,59,0,0,0,7,87,64,64
Cameroon,104275,104275,133,672,0,2143,229,3177,2603,2603,68,56,0,0,386,6480,9537,100373,100373
Canada,165549,0,0,12983,12929,0,0,25912,618,0,0,0,0,0,0,0,618,164883,0
Cayman Islands,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
Central African Rep.,21574,4319,175,0,0,359,7,541,11641,1,0,0,0,0,24,5360,17025,16730,16730
Chad,347939,328746,5700,5856,0,11426,2360,25342,37364,21148,152,152,0,0,695,5930,44141,366494,336153
Chile,1621,0,0,6,23,0,25,54,0,0,0,0,1,0,0,0,1,1674,683
China,300986,67,0,56,0,0,0,56,1,0,23,0,0,0,0,0,24,301018,105
#NAME?,154,154,0,40,0,0,0,40,1,1,40,40,0,0,0,1,42,152,152
#NAME?,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Colombia,212,69,0,8,0,0,0,8,0,0,0,0,1,0,0,0,1,219,66
Congo,133112,133112,0,52,0,2101,6437,8590,818,71,74,74,0,0,237,91,1220,141232,141232
Costa Rica,19505,15800,0,227,0,0,391,618,5,4,61,61,0,0,0,0,66,20057,15962
Côte d'Ivoire,26224,26224,0,15,0,202,27,244,1179,1179,0,0,0,0,17,1089,2285,24221,24221
Croatia,936,936,0,14,0,0,0,14,82,19,0,0,9,40,8,6,145,824,824
Cuba,411,377,0,11,0,0,6,17,0,0,3,3,0,0,0,41,44,384,347
Curacao,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Cyprus,3394,0,0,110,0,0,0,110,0,0,0,0,1,0,0,0,1,3503,0
Czech Rep.,2449,0,0,383,0,0,0,383,0,0,0,0,0,0,0,0,0,2449,0
Dem. Rep. of the Congo,166336,107580,209,0,0,47,72,328,13872,13872,51,51,0,0,0,0,13923,152749,101299
