Origin,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Afghanistan,3054727,2946533,0,18561,3099,98705,58657,179022,71145,68175,1270,1270,6,45,49,472752,545267,2664436,2562902
Albania,14768,10,0,567,0,0,4,571,0,0,0,0,0,36,0,1,37,13551,6
Algeria,6689,96,3,286,0,2,18,309,0,0,0,0,1,7,2,34,44,6121,94
Andorra,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Angola,134863,105504,0,296,4,440,620,1360,3967,3965,3,3,0,39,78,1946,6033,128664,100523
Antigua and Barbuda,30,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,32,0
Argentina,557,13,0,10,1,0,0,11,0,0,0,0,0,0,0,1,1,518,12
Armenia,17548,57,0,814,17,0,1,832,0,0,3,3,2,12,0,27,44,16487,55
Australia,37,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0
Austria,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Azerbaijan,16753,2430,0,514,7,0,1,522,0,0,5,5,1,425,3,10,444,16162,1997
Bahamas,17,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,185,0
Bahrain,87,0,0,138,0,0,0,138,0,0,0,0,0,0,0,0,0,215,0
Bangladesh,10049,36,0,729,3,0,4,736,0,0,0,0,0,8,0,5,13,10056,53
Barbados,32,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,45,0
Belarus,5743,19,0,392,4,0,2,398,0,0,2,2,0,15,0,5,22,5925,18
Belgium,83,0,0,10,75,0,1,86,0,0,0,0,0,9,0,0,9,90,0
Belize,23,1,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,32,0
Benin,442,17,0,33,7,0,1,41,0,0,0,0,0,1,0,0,1,461,21
Bhutan,75070,72252,0,98,17405,1167,94,18764,0,0,18067,18067,0,7,313,35,18422,57989,55006
Bolivia (Plurinational State of),590,117,0,48,0,0,0,48,0,0,0,0,0,0,0,1,1,611,13
Bosnia and Herzegovina,62862,25614,0,139,1,5,373,518,449,3,0,0,5,144,19,1998,2615,58578,23879
Botswana,53,0,0,74,0,0,0,74,0,0,0,0,0,0,0,0,0,85,0
Brazil,994,1,0,77,0,0,1,78,0,0,0,0,0,1,0,0,1,1045,0
Brunei Darussalam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bulgaria,2559,14,0,78,0,0,4,82,0,0,0,0,0,1,0,0,1,2327,14
Burkina Faso,1145,12,0,142,0,0,1,143,0,0,0,0,0,0,0,9,9,1271,9
Burundi,84069,71409,0,2182,292,1622,24648,28744,4378,4378,212,211,1,27,19,5842,10479,101288,66846
Cambodia,16314,101,0,54,10,1,43,108,0,0,12,12,0,962,0,42,1016,15205,125
Cameroon,14964,2135,0,877,18,4,9,908,0,0,1,1,1,4,0,13,19,15163,2142
Canada,90,1,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,109,5
Cape Verde,25,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,27,2
Cayman Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Central African Rep.,164903,157560,209,1467,186,3466,769,6097,8974,8974,181,181,0,1,527,7167,16850,162862,146679
Chad,53734,50303,213,330,23,476,123,1165,76,76,12,12,0,15,35,11998,12136,42640,20965
Chile,1170,6,0,15,0,0,0,15,0,0,0,0,0,1,0,0,1,1189,6
China,184603,261,0,11806,162,1,5,11974,0,0,40,40,1,47,0,63,151,190369,299
#NAME?,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0
#NAME?,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Colombia,395559,87413,0,4706,631,0,55,5392,24,24,413,410,13,4,22,46,522,395949,90361
Comoros,368,0,0,59,0,0,1,60,0,0,0,0,0,0,0,0,0,422,1
Congo,20680,9424,0,521,220,47,196,984,742,741,76,76,6798,35,24,183,7858,12839,1985
Cook Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,353,0,0,10,3,0,0,13,0,0,0,0,0,0,0,0,0,331,0
Côte d'Ivoire,41792,32411,207535,1565,102,432,111,209745,135206,135187,61,60,1,28,31,246,135573,154824,143829
Croatia,65861,55389,0,29,0,3,248,280,439,439,0,0,0,139,12,2962,3552,62649,52416
Cuba,7477,1396,0,836,2171,0,0,3007,3,2,2,2,1,8,0,14,28,7856,1406
Cyprus,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
Czech Rep.,817,5,0,51,0,0,0,51,0,0,0,0,0,3,0,2,5,763,2
Dem. People's Rep. of Korea,915,18,0,223,16,0,0,239,0,0,11,10,0,1,0,2,14,1052,23
Dem. Rep. of the Congo,476824,395873,2188,11392,2246,9477,12279,37582,21081,710,2096,2070,1,69,456,14937,38640,491481,426706
Denmark,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Djibouti,565,72,0,145,5,0,3,153,0,0,1,1,0,3,0,5,9,602,77
Dominica,52,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,52,0
Dominican Rep.,246,12,0,26,0,0,0,26,0,0,0,0,0,0,0,2,2,250,13
Ecuador,852,29,0,60,40,0,0,100,0,0,0,0,0,0,0,0,0,909,31
Egypt,6916,104,3,1543,17,1,14,1578,0,0,11,11,1,4,0,17,33,7936,129
El Salvador,4976,410,0,604,7,0,1457,2068,0,0,0,0,0,67,0,1,68,6720,479
Equatorial Guinea,305,65,0,22,7,0,0,29,0,0,6,6,0,0,1,34,41,258,33
Eritrea,221961,136047,25461,19290,3749,1769,6099,56368,0,0,2861,2811,1,29,116,18768,21775,251954,135418
Estonia,240,0,0,3,7,0,0,10,0,0,0,0,0,3,0,0,3,224,1
Ethiopia,68847,35137,0,7641,2064,1232,6325,17262,21,20,1311,1271,0,30,28,9856,11246,70610,37005
Fiji,1851,0,0,114,0,0,0,114,0,0,0,0,0,0,0,0,0,1579,0
Finland,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
France,92,0,0,9,0,0,2,11,0,0,0,0,0,0,0,0,0,99,0
Gabon,165,9,0,20,4,0,0,24,0,0,0,0,0,0,0,6,6,173,3
Gambia,2247,18,0,426,7,0,4,437,0,0,2,2,0,4,0,0,6,2583,20
Georgia,10643,2564,0,605,17,0,7,629,0,0,0,0,2,40,0,882,924,10112,1025
Germany,163,3,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,174,2
Ghana,20202,3795,0,195,14,111,106,426,0,0,0,0,1,8,10,23,42,20361,3867
Gibraltar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Greece,51,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,56,1
Grenada,345,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,323,0
Guatemala,5679,74,0,686,25,0,3,714,2,2,0,0,0,0,1,0,3,6088,78
Guinea,11986,149,0,2130,34,1,26,2191,1,1,2,2,0,32,0,21,56,13161,167
Guinea-Bissau,1126,36,0,37,0,0,2,39,0,0,0,0,1,0,0,22,23,1123,17
Guyana,748,0,0,34,0,0,0,34,0,0,0,0,0,0,0,0,0,771,0
Haiti,25892,311,0,2294,2,0,6325,8621,0,0,0,0,0,3,0,4,7,33661,395
Honduras,1302,45,0,349,5,0,399,753,0,0,0,0,0,0,0,1,1,1966,77
Hungary,1439,2,0,169,0,0,0,169,0,0,0,0,0,0,0,1,1,1238,2
Iceland,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
India,17769,23,2,582,81,0,2,667,1,1,0,0,0,5,1,3,10,16232,21
Indonesia,16892,3327,0,245,29,47,469,790,0,0,0,0,0,0,9,813,822,16079,3409
Iran (Islamic Rep. of),68802,10763,0,10980,3234,78,262,14554,1,1,1932,1931,6,47,23,280,2289,72361,12031
Iraq,1683577,241367,22118,15977,13721,1535,6727,60078,67089,19562,8943,8866,12,35,318,271902,348299,1428308,210608
