Origin,Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Afghanistan,Austria,7359,0,0,1709,0,0,0,1709,0,0,0,0,0,0,0,0,0,8636,0
Afghanistan,Germany,30404,0,0,2258,0,0,0,2258,0,0,0,0,0,0,0,0,0,30425,0
Afghanistan,India,9094,9094,0,569,0,78,117,764,98,68,14,14,0,8,33,544,697,9161,9161
Afghanistan,Iran (Islamic Rep. of),1027577,1027577,0,105,0,0,0,105,18851,18851,480,480,0,0,0,168084,187415,840451,840451
Afghanistan,Netherlands,6731,0,0,1373,0,0,0,1373,0,0,0,0,0,0,0,0,0,5697,0
Afghanistan,Norway,5396,0,0,709,165,0,0,874,0,0,0,0,0,0,0,0,0,5733,0
Afghanistan,Pakistan,1899842,1899842,0,395,0,98580,58430,157405,52096,49157,191,191,0,0,4,303011,355302,1701945,1701945
Afghanistan,Sweden,4150,0,0,2756,404,0,0,3160,0,0,0,0,0,0,0,0,0,6620,0
Afghanistan,United Kingdom,23406,0,0,649,0,0,0,649,0,0,0,0,0,0,0,0,0,14424,0
Albania,United States,6005,0,0,151,0,0,0,151,0,0,0,0,0,0,0,0,0,5202,0
Angola,Dem. Rep. of the Congo,79617,79617,0,0,0,21,45,66,1538,1538,1,1,0,0,0,0,1539,78144,78144
Angola,South Africa,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5808,0
Angola,Zambia,25265,17415,0,0,0,329,472,801,2371,2371,0,0,0,0,55,140,2566,23500,15505
Armenia,United States,6637,0,0,175,12,0,0,187,0,0,0,0,0,0,0,0,0,5234,0
Azerbaijan,Germany,6326,0,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,6368,0
Bhutan,Nepal,74536,72242,0,1,0,1167,92,1260,0,0,18067,18067,0,0,313,35,18415,57381,54995
Bosnia and H.,Germany,24622,0,0,13,0,0,0,13,98,0,0,0,0,0,0,0,98,24016,0
Bosnia and H.,Serbia (and Kosovo: S/RES/1244 (1999)),21047,21047,0,0,0,0,0,0,6,0,0,0,0,18,3,353,380,20673,20673
Burundi,Dem. Rep. of the Congo,12845,12845,0,0,0,15,2,17,3944,3944,3,3,0,0,0,0,3947,8915,8915
Burundi,Uganda,4950,4950,0,1684,0,273,0,1957,1,1,3,3,0,0,0,216,220,6687,6687
Burundi,United Rep. of Tanzania,47350,47350,0,0,0,1179,23354,24533,339,339,50,50,0,0,0,3969,4358,67549,45322
Cambodia,France,12956,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,12818,0
Cameroon,United States,7300,0,0,426,0,0,0,426,0,0,0,0,0,0,0,0,0,7282,0
Central African Rep.,Cameroon,89927,89927,0,468,0,1757,188,2413,2497,2497,39,39,0,0,327,1759,4622,90176,90176
Central African Rep.,Chad,69428,64428,0,947,0,1693,492,3132,6469,6469,141,141,0,0,200,4805,11615,67414,54573
Chad,Cameroon,8492,8492,9,52,0,95,23,179,73,73,6,6,0,0,22,3319,3420,5251,5251
Chad,Sudan,39579,39577,204,8,0,378,11,601,0,0,0,0,0,0,9,8300,8309,31871,12811
China,Canada,16451,0,0,958,18,0,0,976,0,0,0,0,0,0,0,0,0,17024,0
China,India,100003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100003,3
China,United States,54599,0,0,8698,34,0,0,8732,0,0,0,0,0,0,0,0,0,58352,0
Colombia,Canada,16054,0,0,639,389,0,0,1028,0,0,0,0,0,0,0,0,0,17243,0
Colombia,Costa Rica,10214,10214,0,100,0,0,0,100,2,2,15,15,0,0,0,0,17,10297,10297
Colombia,Ecuador,120403,52059,0,2652,0,0,0,2652,18,18,379,379,7,0,20,44,468,122587,54243
Colombia,Panama,15432,3225,0,135,0,0,31,166,0,0,0,0,0,0,0,0,0,15598,3400
Colombia,United States,25607,0,0,377,49,0,0,426,0,0,0,0,0,0,0,0,0,22004,0
Colombia,Venezuela (Bolivarian Republic of),201467,21067,0,490,0,0,0,490,0,0,16,16,0,0,0,0,16,201941,21051
Côte d'Ivoire,Guinea,4073,4073,2222,124,0,6,36,2388,10,10,40,40,0,0,3,28,81,6380,6380
Côte d'Ivoire,Liberia,24536,24536,199237,5,0,321,0,199563,135109,135109,10,10,0,0,22,0,135141,128067,128067
Côte d'Ivoire,Togo,66,66,5084,1,0,64,0,5149,61,48,0,0,0,0,3,0,64,5151,5151
Croatia,Bosnia and H.,6836,1346,0,0,0,0,160,160,227,227,0,0,0,0,0,0,227,6769,1573
Croatia,Serbia (and Kosovo: S/RES/1244 (1999)),52483,52483,0,0,0,0,0,0,200,200,0,0,0,60,10,2267,2537,49946,49946
Dem. Rep. of the Congo,Angola,13648,4500,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13648,4500
Dem. Rep. of the Congo,Burundi,28957,28957,0,5404,0,812,828,7044,486,486,53,53,0,0,98,151,788,35213,35213
Dem. Rep. of the Congo,Central African Rep.,15300,590,175,0,0,243,0,418,11641,1,0,0,0,0,16,2274,13931,13427,13427
Dem. Rep. of the Congo,Congo,124244,124244,0,50,0,1933,5713,7696,763,16,63,63,0,0,177,39,1042,131648,131648
Dem. Rep. of the Congo,France,11369,0,0,616,20,0,0,636,0,0,0,0,0,0,0,0,0,11931,0
Dem. Rep. of the Congo,Germany,5587,0,0,55,0,0,0,55,0,0,0,0,0,0,0,0,0,5146,0
Dem. Rep. of the Congo,Kenya,4879,4879,0,519,0,280,2037,2836,4,4,234,234,0,0,15,2307,2560,5155,5155
Dem. Rep. of the Congo,Rwanda,55027,55027,0,0,0,1010,0,1010,0,0,726,726,0,0,100,256,1082,54955,54955
Dem. Rep. of the Congo,South Africa,12973,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,12,12973,0
Dem. Rep. of the Congo,South Sudan,20979,14750,0,0,0,524,2344,2868,0,0,0,0,0,0,10,1651,1661,22186,17121
Dem. Rep. of the Congo,Uganda,81804,81804,2005,2583,0,2130,4,6722,7985,1,113,113,0,0,0,6926,15024,81487,81487
Dem. Rep. of the Congo,United Rep. of Tanzania,60186,60186,0,0,0,1950,92,2042,102,102,183,183,0,0,0,41,326,61913,61913
Dem. Rep. of the Congo,Zambia,12342,8253,0,127,0,146,846,1119,20,20,168,159,0,0,13,751,952,12509,8080
Eritrea,Ethiopia,44791,44791,11026,0,0,472,19,11517,0,0,1343,1343,0,0,7,62,1412,54896,54896
Eritrea,Israel,16499,16499,14433,0,0,200,0,14633,0,0,13,13,0,0,0,0,13,31119,2500
Eritrea,Italy,10856,0,0,374,0,0,0,374,0,0,0,0,0,0,0,0,0,11206,0
Eritrea,Norway,4668,0,0,1230,419,0,0,1649,0,0,0,0,0,0,0,0,0,5846,0
Eritrea,Sudan,103798,66275,2,8702,0,1000,5771,15475,0,0,875,875,0,0,104,17830,18809,100464,68891
Eritrea,Sweden,3921,0,0,1226,369,0,0,1595,0,0,0,0,0,0,0,0,0,5123,0
Eritrea,Switzerland,6859,0,0,2938,0,0,0,2938,0,0,0,0,0,0,0,35,35,9592,0
Eritrea,United Kingdom,9430,0,0,781,0,0,0,781,0,0,0,0,0,0,0,0,0,9851,0
Ethiopia,Kenya,21253,21253,0,3816,0,905,5618,10339,0,0,906,906,0,0,11,8818,9735,21857,21857
Ethiopia,United States,11421,0,0,1038,594,0,0,1632,0,0,0,0,0,0,0,0,0,11132,0
Ghana,Togo,13575,3679,0,0,0,111,0,111,0,0,0,0,0,0,10,0,10,13676,3679
Haiti,United States,18487,0,0,602,0,0,6323,6925,0,0,0,0,0,0,0,0,0,24013,0
India,Canada,5954,0,0,111,39,0,0,150,0,0,0,0,0,0,0,0,0,5621,0
India,United States,7842,0,0,367,6,0,0,373,0,0,0,0,0,0,0,0,0,6657,0
Indonesia,Papua New Guinea,9689,2511,0,0,0,47,423,470,0,0,0,0,0,0,9,782,791,9368,2550
Indonesia,United States,5605,0,0,179,1,0,0,180,0,0,0,0,0,0,0,0,0,5056,0
Iran (Islamic Rep. of),Germany,20444,0,0,1432,63,0,0,1495,0,0,0,0,0,0,0,0,0,20462,0
Iran (Islamic Rep. of),Iraq,7989,7989,0,25,0,58,216,299,0,0,26,26,0,0,22,11,59,8229,8229
Iran (Islamic Rep. of),United Kingdom,10837,0,0,1657,0,0,0,1657,0,0,0,0,0,0,0,0,0,11632,0
Iraq,Egypt,6772,6772,603,26,0,43,189,861,1735,105,172,96,0,0,6,1258,3171,6037,6037
Iraq,Germany,50432,0,0,2877,0,0,0,2877,905,0,0,0,0,0,0,0,905,48976,0
Iraq,Iran (Islamic Rep. of),45708,45708,0,1,0,0,1942,1943,18015,1676,2,2,0,0,0,36,18053,45937,45937
Iraq,Jordan,450000,30098,6495,201,0,293,975,7964,4575,107,965,965,0,0,55,6837,12432,450000,32197
Iraq,Lebanon,7630,7630,1996,424,0,92,187,2699,560,114,765,765,0,0,18,941,2284,8491,8491
Iraq,Netherlands,17779,0,0,1401,78,0,0,1479,920,0,0,0,0,0,0,0,920,18255,0
Iraq,Norway,6320,0,0,199,1,0,0,200,320,0,0,0,0,0,0,0,320,6257,0
Iraq,Sweden,29013,0,0,1134,14,0,0,1148,2265,0,0,0,0,0,0,0,2265,27367,0
Iraq,Syrian Arab Rep.,1000000,135205,12923,155,0,1022,3264,17364,28230,3071,4455,4455,0,0,233,261525,294443,750000,100254
