Country/territory of asylum,Pending start 2011,of who UNHCR-assisted,Applied during 2011,Positive convention status,Positive complem. protect. status,Rejected,Otherwise closed,Total,Pending end 2011,of who UNHCR-assisted.1,Protection indicator otherwise closed rate (%),Protection indicator change pending cases
Afghanistan,30,30,58,28,1,0,6,35,53,53,17.142857142857142,76.66666666666667
Albania,23,23,19,5,0,0,13,18,24,24,72.22222222222221,4.3478260869565215
Algeria,300,291,1038,12,0,211,299,522,816,816,57.279693486590034,172
Angola,4108,2078,542,1068,0,415,0,1483,3167,1602,0,-22.906523855890946
Argentina,1230,329,871,85,28,398,372,883,1217,203,42.12910532276331,-1.056910569105691
Armenia,23,14,89,49,0,20,18,87,25,17,20.689655172413794,8.695652173913043
Aruba,1,1,3,0,0,0,0,0,4,4,........................................................................................................................................................................................................,300
Australia*,3748,0,15441,5726,0,8778,181,14694,5242,0,1.2317952905948006,39.861259338313765
Austria,25625,0,14416,3572,2023,11553,2100,19248,24480,0,10.910224438902743,-4.468292682926829
Azerbaijan*,17,17,158,28,5,86,8,127,48,48,6.299212598425196,182.35294117647058
Bahamas,9,9,9,0,0,0,3,3,14,14,100,55.55555555555556
Bahrain,69,69,138,0,47,0,0,47,160,160,0,131.8840579710145
Bangladesh,0,0,7,1,0,4,0,5,2,2,0,..
Belarus,66,62,144,14,0,110,36,160,50,49,22.5,-24.242424242424242
Belgium*,18283,0,41152,4151,1320,26404,1834,34625,19006,0,5.2967509025270765,3.954493245091068
Belize,29,29,32,0,0,0,6,6,55,55,100,89.65517241379311
Benin,101,0,464,148,0,59,0,207,358,0,0,254.45544554455446
Bolivia (Plurinational State of),41,39,32,21,0,34,0,55,18,16,0,-56.09756097560976
Bosnia and Herzegovina,156,0,44,0,3,101,51,155,45,0,32.903225806451616,-71.15384615384616
Botswana,249,249,219,156,0,49,17,222,246,246,7.657657657657657,-1.2048192771084338
Brazil,872,878,4980,101,720,326,35,1182,4670,1280,2.961082910321489,435.5504587155964
British Virgin Islands,0,0,1,0,0,0,1,1,0,0,100,..
Bulgaria,1411,0,893,10,182,366,298,856,1384,0,34.81308411214953,-1.9135364989369241
Burkina Faso,534,534,179,30,0,0,18,48,665,665,37.5,24.531835205992508
Burundi,12062,12062,3638,5438,0,6,196,5640,10060,10060,3.4751773049645394,-16.59757917426629
Cambodia,52,52,19,7,0,8,7,22,49,49,31.818181818181817,-5.769230769230769
Cameroon,2383,2383,3215,692,0,730,878,2300,3298,3298,38.173913043478265,38.396978598405376
Canada,51031,0,24985,12983,0,16122,5152,34257,41852,0,15.039262048632395,-17.98710587681997
Cayman Islands,3,3,1,2,0,0,1,3,1,0,33.33333333333333,-66.66666666666666
Central African Rep.,1219,82,1292,0,0,0,63,63,2448,423,100,100.82034454470879
Chad,110,110,5914,5856,0,3,0,5859,165,165,0,50
Chile,274,0,305,6,66,142,1,215,364,304,0.46511627906976744,32.846715328467155
China,122,5,52,49,7,57,31,144,30,0,21.52777777777778,-75.40983606557377
" - Hong Kong SAR, China",486,486,1066,40,0,503,412,955,597,597,43.1413612565445,22.839506172839506
" - Macao SAR, China",9,9,8,0,0,0,7,7,10,10,100,11.11111111111111
Colombia,167,167,109,8,0,71,77,156,120,120,49.358974358974365,-28.143712574850298
Congo,5524,5524,640,52,0,339,2762,3153,3011,3011,87.59911195686647,-45.49239681390297
Costa Rica,375,375,964,227,0,391,266,884,455,455,30.09049773755656,21.333333333333336
Côte d'Ivoire,254,254,646,15,0,218,0,233,667,667,0,162.5984251968504
Croatia,81,81,858,9,5,92,598,704,235,235,84.94318181818183,190.12345679012347
Cuba,11,11,6,11,0,2,2,15,2,2,13.333333333333334,-81.81818181818183
Curacao,2,2,8,0,0,0,4,4,6,6,100,200
Cyprus,5396,22,4167,62,48,5703,691,6504,3059,34,10.624231242312424,-43.309859154929576
Czech Rep.,1065,0,756,113,270,0,0,383,909,0,0,-14.647887323943662
Dem. Rep. of the Congo,932,932,225,0,0,4,17,21,1136,1136,80.95238095238095,21.888412017167383
Denmark,1244,0,3811,944,576,2785,28,4333,1427,0,0.6462035541195477,14.710610932475884
Djibouti,732,732,1382,50,8,0,151,209,1905,1905,72.24880382775119,160.24590163934425
Dominica,0,0,1,0,0,0,1,1,0,0,100,..
Dominican Rep.,1761,884,28,0,0,0,4,4,1785,251,100,1.362862010221465
Ecuador,49887,49887,14171,2679,0,9584,67,12330,21558,21558,0.543390105433901,-56.78633712189548
Egypt,15493,0,5499,767,0,573,714,2054,18938,0,34.76144109055501,22.235848447686053
El Salvador,18,18,15,2,0,0,26,28,5,3,92.85714285714286,-72.22222222222221
Eritrea,137,0,5,0,0,0,135,135,7,4,100,-94.8905109489051
Estonia,10,0,67,8,3,50,6,67,9,0,8.955223880597014,-10
Ethiopia,1028,0,839,260,0,1,259,520,1347,0,49.80769230769231,31.03112840466926
Fiji,6,4,5,5,0,1,4,10,1,1,40.0,-83.33333333333334
Finland,2088,0,3086,169,1095,632,1647,3543,2283,0,46.48602878916173,9.339080459770114
France,48576,0,89320,8190,2454,63757,0,74401,49240,0,0,1.3669301712779973
Gabon,4132,4132,108,2,0,0,1870,1872,2368,2368,99.8931623931624,-42.69119070667957
Gambia,74,39,106,0,0,0,154,154,26,25,100,-64.86486486486487
Georgia,44,44,78,21,0,48,13,82,40,40,15.853658536585366,-9.090909090909092
Germany,51991,0,53347,7098,2577,23717,9970,43362,62680,0,22.992481896591485,20.559327575926602
Ghana,749,749,20123,4,0,0,8236,8240,12632,12622,99.9514563106796,1586.5153538050733
Greece,55720,0,15292,199,225,9221,17069,26714,43942,0,63.89533577899229,-21.137832017229
Grenada,3,0,0,3,0,0,0,3,0,0,0,-100
Guatemala,2,0,21,9,0,0,4,13,10,0,30.76923076923077,400
Guinea,764,764,367,206,0,184,136,526,605,605,25.85551330798479,-20.81151832460733
Guinea-Bissau,330,330,63,15,0,8,279,302,91,91,92.3841059602649,-72.42424242424242
Guyana,0,0,1,0,0,0,0,0,1,0,........................................................................................................................................................................................................,..
Haiti,4,4,2,0,0,0,0,0,6,0,........................................................................................................................................................................................................,50
Honduras,0,0,9,6,0,0,3,9,0,0,33.33333333333333,..
Hungary,368,0,1693,47,109,722,593,1471,360,0,40.312712440516655,-2.1739130434782608
Iceland,39,0,107,5,10,13,44,72,81,0,61.111111111111114,107.6923076923077
India,3746,3746,4775,3336,0,1105,562,5003,3518,3518,11.233260043973615,-6.08649225840897
Indonesia,2071,2071,4052,637,0,26,2227,2890,3233,3233,77.05882352941177,56.10816030902945
Iran (Islamic Rep. of),1775,1775,126,106,0,181,1169,1456,445,445,80.28846153846155,-74.92957746478874
Iraq,3073,3073,1161,27,0,0,11,38,4196,4196,28.947368421052634,36.54409371949235
Ireland,5153,0,3337,132,13,3425,312,3882,5439,0,8.0370942812983,5.550164952454881
Israel,5578,163,5745,108,15,3791,949,4863,6460,765,19.51470285831791,15.81211903908211
Italy,4076,0,34117,1803,2526,16995,0,21324,13525,0,0,231.82041216879293
Japan2,3083,18,3626,24,248,2646,341,3011,3698,359,11.325141149119894,19.948102497567305
Jordan,2150,2150,4579,376,0,594,784,1754,4975,4975,44.69783352337514,131.3953488372093
Kazakhstan,602,602,78,32,0,57,521,610,70,70,85.40983606557377,-88.37209302325581
Kenya,27963,27963,15202,5169,0,1819,906,7894,35271,35271,11.477071193311374,26.134534921145804
Kuwait,3274,1250,255,9,1,1,2400,2411,1118,1118,99.54375777685608,-65.85216860109956
Kyrgyzstan,554,554,246,147,0,136,109,392,408,408,27.806122448979593,-26.353790613718413
Latvia,53,0,335,9,18,29,104,160,231,0,65.0,335.8490566037736
Lebanon,1417,1386,1687,541,1,344,482,1368,1736,1735,35.23391812865497,22.512350035285817
Lesotho,2,0,10,8,0,0,1,9,3,0,11.11111111111111,50
Liberia,28,28,573,13,0,8,6,27,574,574,22.22222222222222,1950
Libya,3194,3194,90,0,0,0,390,390,2894,1268,100,-9.39261114589856
Liechtenstein,61,0,75,2,8,27,42,79,57,0,53.16455696202531,-6.557377049180328
Lithuania,71,0,406,6,13,245,137,401,77,0,34.1645885286783,8.450704225352112
Luxembourg,696,0,2375,40,3,1078,454,1575,1694,0,28.825396825396826,143.39080459770116
Madagascar,0,0,1,0,0,0,0,0,1,0,........................................................................................................................................................................................................,..
Malawi,7079,7079,4498,591,1,317,123,1032,10545,10545,11.918604651162791,48.9617177567453
Malaysia,11339,11339,16964,11747,0,1648,3971,17366,10937,10937,22.86652078774617,-3.5452861804391924
Mali,1696,1696,875,41,0,33,0,74,2497,2497,0,47.22877358490566
Malta,1184,0,2547,70,811,1428,126,2435,1457,0,5.174537987679671,23.05743243243243
Mauritania,241,241,378,44,0,42,251,337,282,282,74.4807121661721,17.012448132780083
Mexico,172,79,753,259,21,5,9,294,631,0,3.061224489795918,266.86046511627904
Mongolia,1,0,6,0,0,1,1,2,5,0,50.0,400
Montenegro,5,5,235,0,2,128,72,202,38,38,35.64356435643564,660
Montserrat,14,0,0,0,0,0,9,9,5,0,100,-64.28571428571429
Morocco,302,302,1110,44,0,565,188,797,615,615,23.588456712672524,103.64238410596028
Mozambique,5912,4242,3905,127,0,1,87,215,9602,7174,40.46511627906977,62.41542625169147
Namibia,1421,1421,267,116,0,116,528,760,928,928,69.47368421052632,-34.69387755102041
Nepal,938,0,44,26,1,2,25,54,928,14,46.2962962962963,-1.0660980810234542
Netherlands,13053,0,14631,833,7549,10169,0,18551,10420,0,0,-20.171608059449937
New Zealand,215,0,489,129,0,327,9,465,240,0,1.935483870967742,11.627906976744185
Nicaragua,12,9,39,13,0,0,32,45,6,6,71.11111111111111,-50
Niger,18,18,185,9,1,44,26,80,123,123,32.5,583.3333333333333
Nigeria,1815,1815,201,41,0,60,386,487,1529,1529,79.26078028747433,-15.757575757575756
Norway,12473,0,18222,3095,1664,11773,3339,19871,11153,0,16.80338181269186,-10.582858975386836
Oman,13,13,35,5,0,0,0,5,43,43,0,230.76923076923075
Pakistan,2095,2095,982,435,0,291,727,1453,1624,1624,50.03441156228493,-22.482100238663485
Palau,0,0,1,0,0,0,0,0,1,0,........................................................................................................................................................................................................,..
Panama,479,434,1396,155,0,61,865,1081,794,739,80.01850138760406,65.76200417536533
Papua New Guinea,6,1,3,0,1,5,2,8,1,0,25.0,-83.33333333333334
Paraguay,7,7,25,8,0,5,10,23,9,9,43.47826086956522,28.57142857142857
Peru,264,177,466,20,0,42,174,236,494,306,73.72881355932203,87.12121212121212
Philippines,73,1,21,10,0,7,19,36,58,0,52.77777777777778,-20.54794520547945
Poland,2123,0,6887,157,418,2739,6784,10098,2886,0,67.18162012279659,35.939707960433346
Portugal,57,0,275,27,37,0,54,118,214,0,45.76271186440678,275.43859649122805
Qatar,16,0,63,27,3,0,0,30,49,49,0,206.25
Rep. of Korea,715,15,1140,55,21,506,92,674,1169,171,13.649851632047477,63.4965034965035
Rep. of Moldova,81,81,72,3,20,74,7,104,49,49,6.730769230769231,-39.50617283950617
Romania,388,98,2061,70,35,1417,184,1706,753,548,10.785463071512309,94.0721649484536
Russian Fed.,1463,1463,2292,762,0,0,2031,2793,962,910,72.71750805585391,-34.2447026657553
Rwanda,290,290,7,0,0,0,1,1,296,296,100,2.0689655172413794
Saint Lucia,6,6,2,2,0,2,1,5,3,3,20.0,-50
Saint Vincent and the Grenadines,0,0,1,0,0,0,0,0,1,1,........................................................................................................................................................................................................,..
Saudi Arabia,87,87,22,18,0,4,7,29,80,80,24.137931034482758,-8.045977011494253
Senegal,2177,2177,200,8,0,75,31,114,2263,2263,27.192982456140353,3.9503904455672942
