Country/territory of asylum,Cases/Persons App.,Cases/Persons Dec.,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Afghanistan,P,P,U,FA,30,58,28,1,0,6,35,53,96.55172413793103,100,17.142857142857142,76.66666666666667
Albania,P,P,G,FA,23,19,5,0,0,13,18,24,100,100,72.22222222222221,4.3478260869565215
Algeria,P,P,U,FI,291,965,12,0,160,292,464,792,6.976744186046512,6.976744186046512,62.93103448275862,172.16494845360825
Algeria,P,P,U,AR,9,59,0,0,51,4,55,13,0,0,7.2727272727272725,44.44444444444444
Algeria,P,P,U,RA,0,14,0,0,0,3,3,11,..,..,100,..
Angola,P,P,G,FA,4108,542,1068,0,415,0,1483,3167,72.0161834120027,72.0161834120027,0,-22.906523855890946
Argentina,P,P,G,FI,1230,871,85,28,398,372,883,1217,16.634050880626223,22.113502935420744,42.12910532276331,-1.056910569105691
Armenia,P,P,G,FI,12,72,48,0,20,8,76,8,70.58823529411765,70.58823529411765,10.526315789473683,-33.33333333333333
Armenia,P,P,G,JR,11,16,0,0,0,10,10,17,..,..,100,54.54545454545454
Armenia,P,P,U,FI,0,1,1,0,0,0,1,0,100,100,0,..
Aruba,P,P,G,FI,1,3,0,0,0,0,0,4,..,..,..,300
Australia,P,P,G,FI,2889,11505,4823,0,6677,0,11500,3368,41.939130434782605,41.939130434782605,0,16.58013153340256
Australia,C,C,G,AR,859,3936,903,0,2101,181,3194,1874,30.059920106524636,30.059920106524636,5.666875391358798,118.16065192083818
Austria,P,P,G,FA,22073,14416,3572,2023,11553,2100,19248,20580,20.830417541404245,32.62771168649405,10.910224438902743,-6.763919720926018
Austria,P,P,G,JR,3552,0,0,0,0,0,0,3900,..,..,..,9.797297297297296
Azerbaijan,P,P,G,FI,8,69,0,0,64,0,64,13,0,0,0,62.5
Azerbaijan,P,P,U,FI,9,80,28,5,15,8,56,33,58.333333333333336,68.75,14.285714285714285,266.66666666666663
Azerbaijan,C,C,G,AR,0,9,0,0,7,0,7,2,0,0,0,..
Bahamas,P,P,G,FI,9,9,0,0,0,3,3,14,..,..,100,55.55555555555556
Bahrain,P,P,U,FI,69,138,0,47,0,0,47,160,0,100,0,131.8840579710145
Bangladesh,P,P,U,FI,0,7,1,0,4,0,5,2,20,20,0,..
Belarus,P,P,G,FI,50,85,14,0,53,36,103,32,20.8955223880597,20.8955223880597,34.95145631067961,-36
Belarus,P,P,G,AR,16,45,0,0,57,0,57,4,0,0,0,-75
Belarus,P,P,U,FI,0,14,0,0,0,0,0,14,..,..,..,..
Belgium,P,P,G,FI,14313,26003,3804,1268,16564,1834,23470,17093,17.581808097615088,23.442410796820116,7.814230933106094,19.422902256689724
Belgium,P,P,G,RA,0,7310,0,0,0,0,0,0,..,..,..,..
Belgium,C,C,G,AR,3970,7839,347,52,9840,0,11155,1913,3.3890028323078427,3.896864928215646,0,-51.81360201511335
Belize,P,P,G,FI,29,32,0,0,0,6,6,55,..,..,100,89.65517241379311
Benin,P,P,G,FI,78,449,148,0,26,0,174,353,85.0574712643678,85.0574712643678,0,352.56410256410254
Benin,P,P,G,AR,23,15,0,0,33,0,33,5,0,0,0,-78.26086956521739
Bolivia (Plurinational State of),P,P,G,FI,41,32,21,0,34,0,55,18,38.18181818181819,38.18181818181819,0,-56.09756097560976
Bosnia and Herzegovina,P,P,G,FA,156,44,0,3,101,51,155,45,0,2.8846153846153846,32.903225806451616,-71.15384615384616
Botswana,P,P,G,FA,249,219,156,0,49,17,222,246,76.09756097560975,76.09756097560975,7.657657657657657,-1.2048192771084338
Brazil,P,P,G,FI,872,4980,101,720,326,35,1182,4670,8.805579773321709,71.57802964254577,2.961082910321489,435.5504587155964
British Virgin Islands,P,P,U,FI,0,1,0,0,0,1,1,0,..,..,100,..
Bulgaria,P,P,G,FA,1411,893,10,182,366,298,856,1384,1.7921146953405016,34.40860215053764,34.81308411214953,-1.9135364989369241
Burkina Faso,P,P,G,FI,532,179,30,0,0,16,46,665,100,100,34.78260869565217,25
Burkina Faso,P,P,G,AR,2,0,0,0,0,2,2,0,..,..,100,-100
Burundi,P,P,G,FA,12062,3638,5438,0,6,196,5640,10060,99.88978692138134,99.88978692138134,3.4751773049645394,-16.59757917426629
Cambodia,P,P,G,FI,51,10,7,0,4,7,18,43,63.63636363636363,63.63636363636363,38.88888888888889,-15.686274509803921
Cambodia,P,P,G,AR,1,9,0,0,4,0,4,6,0,0,0,500
Cameroon,P,P,U,FA,2200,2878,672,0,528,671,1871,3207,56.00000000000001,56.00000000000001,35.863174772848744,45.77272727272727
Cameroon,P,P,U,RA,183,337,20,0,202,207,429,91,9.00900900900901,9.00900900900901,48.25174825174825,-50.27322404371585
Canada,P,P,G,FI,51031,24985,12983,0,16122,5152,34257,41852,44.6074557636145,44.6074557636145,15.039262048632395,-17.98710587681997
Cayman Islands,P,P,G,FI,3,0,2,0,0,1,3,0,100,100,33.33333333333333,-100
Cayman Islands,P,P,U,FI,0,1,0,0,0,0,0,1,..,..,..,..
Central African Rep.,P,P,G,FI,1219,1292,0,0,0,63,63,2448,..,..,100,100.82034454470879
Chad,P,P,J,FI,110,5914,5856,0,3,0,5859,165,99.94879672299028,99.94879672299028,0,50
Chile,P,P,G,FI,274,305,6,66,142,1,215,364,2.803738317757009,33.64485981308411,0.46511627906976744,32.846715328467155
China,P,P,U,FA,122,52,49,7,57,31,144,30,43.36283185840708,49.557522123893804,21.52777777777778,-75.40983606557377
" - Hong Kong SAR, China",P,P,U,FI,307,790,36,0,313,336,685,412,10.315186246418339,10.315186246418339,49.051094890510946,34.20195439739413
" - Hong Kong SAR, China",P,P,U,AR,144,234,2,0,177,50,229,149,1.1173184357541899,1.1173184357541899,21.83406113537118,3.4722222222222223
" - Hong Kong SAR, China",P,P,U,RA,35,42,2,0,13,26,41,36,13.333333333333334,13.333333333333334,63.41463414634146,2.857142857142857
" - Macao SAR, China",P,P,G,FI,2,8,0,0,0,0,0,10,..,..,..,400
" - Macao SAR, China",P,P,G,AR,7,0,0,0,0,7,7,0,..,..,100,-100
Colombia,P,P,G,FI,167,84,8,0,50,77,135,116,13.793103448275861,13.793103448275861,57.03703703703704,-30.538922155688624
Colombia,P,P,G,AR,0,21,0,0,21,0,21,0,0,0,0,..
Colombia,P,P,G,JR,0,4,0,0,0,0,0,4,..,..,..,..
Congo,P,P,G,FA,5524,640,52,0,339,2762,3153,3011,13.299232736572892,13.299232736572892,87.59911195686647,-45.49239681390297
Costa Rica,P,P,G,FI,375,964,227,0,391,266,884,455,36.73139158576052,36.73139158576052,30.09049773755656,21.333333333333336
Côte d'Ivoire,P,P,J,FA,254,646,15,0,218,0,233,667,6.437768240343347,6.437768240343347,0,162.5984251968504
Croatia,P,P,G,FI,72,807,2,1,71,579,653,226,2.7027027027027026,4.054054054054054,88.6676875957121,213.88888888888889
Croatia,P,P,G,AR,8,50,7,4,20,19,50,8,22.58064516129032,35.483870967741936,38,0
Croatia,P,P,G,JR,1,1,0,0,1,0,1,1,0,0,0,0
Cuba,P,P,U,FA,11,6,11,0,2,2,15,2,84.61538461538461,84.61538461538461,13.333333333333334,-81.81818181818183
