Origin,Country/territory of asylum,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Afghanistan,Australia,G,FI,63,1720,1211,0,900,0,2111,117,57.4,57.4,0,85.7
Afghanistan,Austria,G,FA,2696,3609,822,887,800,154,2663,4576,32.8,68.1,5.8,69.7
Afghanistan,Belgium,G,FI,635,2774,379,446,604,31,1460,1765,26.5,57.7,2.1,178
Afghanistan,Belgium,G,RA,0,479,0,0,0,0,0,0,..,..,..,..
Afghanistan,Canada,G,FI,593,373,392,0,50,61,503,450,88.7,88.7,12.1,-24.1
Afghanistan,Croatia,G,FI,16,487,*,*,12,355,370,133,13.3,20,95.9,731.3
Afghanistan,Denmark,G,FI,148,903,16,281,846,0,1143,160,1.4,26,0,8.1
Afghanistan,Finland,G,FI,235,292,9,169,118,81,377,280,3,60.1,21.5,19.1
Afghanistan,France,G,FI,0,653,101,86,304,0,491,0,20.6,38.1,0,..
Afghanistan,Germany,G,,3548,7767,701,1493,3813,388,6395,5098,11.7,36.5,6.1,43.7
Afghanistan,Germany,G,RA,102,187,33,31,24,91,179,115,37.5,72.7,50.8,12.7
Afghanistan,Greece,G,FI,0,637,12,23,285,93,413,0,3.8,10.9,22.5,..
Afghanistan,Hungary,G,FI,54,649,10,78,301,229,618,0,2.6,22.6,37.1,-100
Afghanistan,India,U,AR,128,679,131,0,566,0,697,110,18.8,18.8,0,-14.1
Afghanistan,India,U,FI,95,1270,438,0,418,0,856,509,51.2,51.2,0,435.8
Afghanistan,Indonesia,U,FA,1207,2118,388,0,11,1277,1676,1649,97.2,97.2,76.2,36.6
Afghanistan,Iran (Islamic Rep. of),U,FI,1639,117,105,0,175,1055,1335,421,37.5,37.5,79,-74.3
Afghanistan,Italy,G,FI,0,1289,165,544,370,0,1079,0,15.3,65.7,0,..
Afghanistan,Netherlands,G,FI,1510,1885,73,983,1453,0,2509,1473,2.9,42.1,0,-2.5
Afghanistan,Netherlands,G,RA,0,508,0,0,0,0,0,0,..,..,..,..
Afghanistan,Norway,G,AR,1836,1412,52,116,1410,179,1757,1383,3.3,10.6,10.2,-24.7
Afghanistan,Norway,G,FI,413,979,204,337,615,153,1309,295,17.6,46.8,11.7,-28.6
