Country of asylum,Description/origin,Population start 2011,of whom UNHCR-assisted,Population end 2011,of whom UNHCR-assisted.1,Change (%),of whom UNHCR-assisted.2
Afghanistan,Afghan returnees of concern to UNHCR,838250,838250,951167,951167,13.470563674321504,0.13470563674321503
Armenia,Naturalized ex-refugees of concern to UNHCR,82519,3500,82938,3000,0.5077618487863401,-0.14285714285714285
Bosnia and Herzegovina,Former Bosnian refugees of concern to UNHCR,2754,0,2309,0,-16.158315177923022,..
Bosnia and Herzegovina,Former internally displaced persons of concern to UNHCR,49959,0,50220,0,0.5224283912808503,..
Burundi,Dependants of refugees,182,182,250,250,37.362637362637365,0.37362637362637363
Congo,Dependants of refugees,0,0,334,334,........................................................................................................................................................................................................,..
Côte d'Ivoire,Dependants of refugees,0,0,938,938,........................................................................................................................................................................................................,..
Croatia,Returning refugees who are beneficiaries of reconstruction programmes,15583,15583,16516,16516,5.987293845857666,0.059872938458576656
Croatia,Returning refugees who are not fully integrated,4800,4800,4500,4500,-6.25,-0.0625
Djibouti,Ethiopian migrants of concern to UNHCR,7,7,0,0,-100,-1
Djibouti,Somali migrants of concern to UNHCR,0,0,2,2,........................................................................................................................................................................................................,..
Gabon,Former refugees from the Dem. Rep. of the Congo of concern to UNHCR.,0,0,8651,0,........................................................................................................................................................................................................,..
Germany,"Afghan nationals holding ""tolerated stay"" permits",1073,0,1358,0,26.56104380242311,..
Germany,"Iraqi nationals holding ""tolerated stay"" permits",6709,0,7213,0,7.512296914592338,..
Germany,Minorities from Serbia (and Kosovo: S/RES/1244 (1999)),8500,0,7838,0,-7.788235294117647,..
Kazakhstan,Chechens in need of international protection,0,0,3682,0,........................................................................................................................................................................................................,..
Lebanon,Syrian nationals of concern to UNHCR,0,0,4840,4840,........................................................................................................................................................................................................,..
Liberia,Refugees from Sierra Leone who are assisted with local integration,1850,1850,1850,1850,0,0
"Macao SAR, China",Person of concern to UNHCR,1,1,0,0,-100,-1
Madagascar,Person of concern to UNHCR,1,0,1,0,0,..
Malaysia,Filipino Muslims,80000,0,80000,0,0,..
Montenegro,Various nationalities,373,373,3938,3938,955.7640750670241,9.557640750670242
Nepal,Tibet (recent arrivals),143,143,128,128,-10.48951048951049,-0.1048951048951049
Nepal,Dependants of refugees,428,0,413,0,-3.5046728971962615,..
Philippines,Rejected Vietnamese of concern to UNHCR,68,0,68,0,0,..
Russian Federation,Persons of concern to UNHCR (with and without FMS status),0,0,10246,10246,........................................................................................................................................................................................................,..
Serbia (and Kosovo: S/RES/1244 (1999)),Forced returnees of concern to UNHCR,0,0,519,519,........................................................................................................................................................................................................,..
Slovakia,Refugees in ETC Humenne,0,0,46,0,........................................................................................................................................................................................................,..
Somalia,Dependants of refugees,0,0,11,11,........................................................................................................................................................................................................,..
Turkey,Syrian nationals granted temporary protection by the Government of Turkey,0,0,9270,0,........................................................................................................................................................................................................,..
Turkey,Chechens in need of international protection,306,0,306,0,0,..
United Republic of Tanzania,Naturalized ex-refugees from Burundi of concern to UNHCR,162256,162256,162256,162256,0,0
Zimbabwe,Dependents of refugees,47,47,40,40,-14.893617021276595,-0.14893617021276595
