calendar_year,amount,currency,agency,transaction_type
2017,2046362,USD,UN,Development Assistance
2010,649137648,USD,FAO,Development Assistance
2010,783755000,USD,IFAD,Development Assistance
2010,257447401,USD,IOM,Development Assistance
2010,418075000,USD,UN,Development Assistance
2010,22905660,USD,UNHABITAT,Development Assistance
2010,5750374000,USD,UNDP,Development Assistance
2010,361971590,USD,UNEP,Development Assistance
2010,478032642,USD,UNESCO,Development Assistance
2010,823900000,USD,UNFPA,Development Assistance
2010,2726074000,USD,UNICEF,Development Assistance
2010,225227477,USD,UNIDO,Development Assistance
2010,65427523,USD,UNOPS,Development Assistance
2010,316705024,USD,WFP,Development Assistance
2010,64539143,USD,WIPO,Development Assistance
2010,446071116,USD,FAO,Humanitarian Assistance
2010,571929118,USD,IOM,Humanitarian Assistance
2010,852660356,USD,UN,Humanitarian Assistance
2010,6558168,USD,UNHABITAT,Humanitarian Assistance
2010,1878173657,USD,UNHCR,Humanitarian Assistance
2010,904499000,USD,UNICEF,Humanitarian Assistance
2010,554848396,USD,UNRWA,Humanitarian Assistance
2010,3998527786,USD,WFP,Humanitarian Assistance
2010,7616090000,USD,DPKO,Peace Operations
2010,78260431,USD,UN,Peace Operations
2010,0,USD,FAO,Global Agenda and Specialised Assistance
2010,131958214,USD,IAEA,Global Agenda and Specialised Assistance
2010,116691220,USD,ICAO,Global Agenda and Specialised Assistance
2010,255732360,USD,ILO,Global Agenda and Specialised Assistance
2010,14468825,USD,IMO,Global Agenda and Specialised Assistance
2010,525781174,USD,IOM,Other (combined Normative and Technical Cooperation)
2010,70773000,USD,ITC,Development Assistance
2010,927263000,USD,PAHO,Development Assistance
2010,187537000,USD,UN,Other (combined Normative and Technical Cooperation)
2010,140894132,USD,UNHABITAT,Development Assistance
2010,283988000,USD,UNAIDS,Development Assistance
2010,159344214,USD,UNESCO,Development Assistance
2010,210948981,USD,UNODC,Development Assistance
2010,5534370,USD,UNWTO,Global Agenda and Specialised Assistance
2010,2078119697,USD,WHO,Other (combined Normative and Technical Cooperation)
2010,88472592,USD,WMO,Global Agenda and Specialised Assistance
2010,33424035,USD,WTO,Development Assistance
