calendar year,entity code,amount,SDG goal,SDG target,SDG indicator
2018,IFAD,193082000,2,,
2018,UNOPS,31642783.59,17,,
2018,UNOPS,12523369.25,2,,
2018,UNOPS,3682234.4,15,,
2018,UNOPS,53566.29671,14,,
2018,UNOPS,331924419.2,16,,
2018,UNOPS,220697644.3,3,,
2018,UNOPS,17572546.55,4,,
2018,UNOPS,22584255.69,6,,
2018,UNOPS,17368907.4,7,,
2018,UNOPS,111479434.2,9,,
2018,UNOPS,117772061.4,11,,
2018,UNOPS,2688396.769,12,,
2018,UNOPS,33676731.34,13,,
2018,UNWOMEN,266426712,5,,
2018,UNWOMEN,16474195.59,8,,
2018,UNWOMEN,8753169.651,11,,
2018,UNWOMEN,5504370.685,3,,
2018,UNWOMEN,8707393.339,1,,
2018,UNWOMEN,4783426.748,4,,
2018,UNWOMEN,3572399.237,17,,
2018,UNWOMEN,6834522.144,13,,
2018,UNWOMEN,59203810.62,16,,
2018,UNRISD,137085,1,,
2018,UNRISD,77451,2,,
2018,UNRISD,132905,3,,
2018,UNRISD,67922,4,,
2018,UNRISD,133763,5,,
2018,UNRISD,21967,14,,
2018,UNRISD,55833,15,,
2018,UNRISD,197231,16,,
2018,UNRISD,197231,17,,
2018,UNRISD,113658,7,,
2018,UNRISD,157992,11,,
2018,UNRISD,163365,12,,
2018,UNRISD,103301,13,,
2018,UNRISD,55833,6,,
2018,UNRISD,197231,8,,
2018,UNRISD,197231,9,,
2018,UNRISD,197231,10,,
2018,WFP,2953203770,2,,
2018,WFP,2568146479,2,2.1,
2018,WFP,194636296.6,2,2.2,
2018,WFP,97311448.56,2,2.3,
2018,WFP,64438925.64,2,2.4,
2018,WFP,212554591,17,,
2018,WFP,184515.8461,17,17.14,
2018,WFP,670145440.4,17,17.16,
2018,WFP,488971.9866,17,17.3,
2018,WFP,27943959.28,17,17.9,
2018,UNFCCC,91157673,13,,
2018,WTO,263483282.7,17,17.1,
2018,ILO,62077456,1,,
2018,ILO,6442070,2,,
2018,ILO,15046417,3,,
2018,ILO,22090718,4,,
2018,ILO,37602880,5,,
2018,ILO,5973,6,,
2018,ILO,260848,7,,
2018,ILO,402790561,8,,
2018,ILO,4816053,9,,
2018,ILO,29414337,10,,
2018,ILO,47215,14,,
2018,ILO,28577636,16,,
2018,ILO,10838960,17,,
2018,ILO,318737,11,,
2018,ILO,47215,15,,
2018,ILO,1317342,12,,
2018,ILO,3131658,13,,
2018,CTBTO,127564070,16,,
2018,IARC,46483337.9,3,3.4,
2018,UNITAID,216329000,3,3.3,
2019,UNITAID,242026000,3,3.3,
2019,OPCW,86323021.21,9,9.5,9.5.1
2019,UNFCCC,91656612,13,,
2019,UNWOMEN,8202844.39,13,,
2019,UNWOMEN,64241464.86,16,,
2019,UNWOMEN,9520685.31,1,,
2019,UNWOMEN,6021176.69,3,,
2019,UNWOMEN,6747753.29,4,,
2019,UNWOMEN,295798863.6,5,,
2019,UNWOMEN,18101772.65,8,,
2019,UNWOMEN,8402860.94,11,,
2019,UNWOMEN,3852578.14,17,,
2019,ILO,16999768.05,17,,
2019,ILO,49822539.48,1,,
2019,ILO,66414.89761,11,,
2019,ILO,3581084.553,2,,
2019,ILO,23611515.16,3,,
2019,ILO,27148654.88,4,,
2019,ILO,38689419.07,5,,
2019,ILO,54561.80039,6,,
2019,ILO,458505742.7,8,,
2019,ILO,3249738.883,9,,
2019,ILO,42977108.99,10,,
2019,ILO,34643875.63,16,,
2019,ILO,1075130.376,12,,
2019,ILO,4436190.543,13,,
2019,WFP,1066569840,17,,
2019,WFP,316651264.1,2,,
2019,WFP,5532806406,2,,
2019,WFP,448165013,2,,
2019,WFP,147893776,2,,
2019,WFP,181274039.9,2,,
2019,WFP,11918820.4,17,,
2019,WFP,362005.53,17,,
2019,WFP,64137459.43,17,,
2019,WFP,1068504.26,17,,
2019,UNOPS,373270785,16,,
2019,UNOPS,105688362,17,,
2019,UNOPS,14894679,4,,
2019,UNOPS,26730888,2,,
2019,UNOPS,194029432,3,,
2019,UNOPS,6269172,8,,
2019,UNOPS,127625558,9,,
2019,UNOPS,105949674,10,17.16,
2019,UNOPS,138472736,11,,
2019,UNOPS,35344802,13,2.1,
2019,UNOPS,1942715,14,2.2,
2019,UNOPS,885723,5,2.3,
2019,UNOPS,33836568,6,2.4,
2019,UNOPS,25113217,7,,
2019,UNOPS,205595,15,17.3,
2019,CTBTO,117462825,16,17.9,
