agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,rev_code,sub_type
IFAD,IFAD,2018,217842469,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
IFAD,IFAD,2018,1429000,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
IFAD,IFAD,2018,91893000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
IFAD,IFAD,2018,59662000,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
IFAD,IFAD,2018,64393000,Revenue from other activities,Revenue from other activities,R04,R04
IFAD,IFAD,2018,8103791,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
UNEP,UNEP,2018,246960551.4,Assessed contributions,Assessed contributions,R01,R01
UNEP,UNEP,2018,69649474.6,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNEP,UNEP,2018,12194029,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNEP,UNEP,2018,148986429,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNEP,UNEP,2018,260545625,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNEP,UNEP,2018,3413310.05,Revenue from other activities,Revenue from other activities,R04,R04
UNESCO,UNESCO,2018,336171018,Assessed contributions,Assessed contributions,R01,R01
UNESCO,UNESCO,2018,4567564,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNESCO,UNESCO,2018,6101410,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNESCO,UNESCO,2018,28054589,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
UNESCO,UNESCO,2018,246286911,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNESCO,UNESCO,2018,11724485,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNESCO,UNESCO,2018,50924109,Revenue from other activities,Revenue from other activities,R04,R04
UNOPS,UNOPS,2018,942476159,Revenue from other activities,Revenue from other activities,R04,R04
UNWOMEN,UNWOMEN,2018,32942062.29,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNWOMEN,UNWOMEN,2018,12391000,Revenue from other activities,Revenue from other activities,R04,R04
UNWOMEN,UNWOMEN,2018,8032000,Assessed contributions,Assessed contributions,R01,R01
UNWOMEN,UNWOMEN,2018,147660004,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNWOMEN,UNWOMEN,2018,1371348.15,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02,R02B
UNWOMEN,UNWOMEN,2018,16671619.83,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
