REGION,SUBREGION,ISO,COUNTRY,DS,ORGCD,Count
Africa,Northern Africa,MAR,Morocco,Rabat,FAO,9
Africa,Northern Africa,MAR,Morocco,Rabat,IFAD,1
Africa,Northern Africa,MAR,Morocco,Rabat,ILO,6
Africa,Northern Africa,MAR,Morocco,Rabat,IOM,23
Africa,Northern Africa,MAR,Morocco,Rabat,UN,24
Africa,Northern Africa,MAR,Morocco,Rabat,UN WOMEN,10
Africa,Northern Africa,MAR,Morocco,Rabat,UNAIDS,4
Africa,Northern Africa,MAR,Morocco,Rabat,UNDP,25
Africa,Northern Africa,MAR,Morocco,Rabat,UNESCO,14
Africa,Northern Africa,MAR,Morocco,Rabat,UNFPA,13
Africa,Northern Africa,MAR,Morocco,Rabat,UNHCR,22
Africa,Northern Africa,MAR,Morocco,Rabat,UNICEF,37
Africa,Northern Africa,MAR,Morocco,Rabat,UNIDO,3
Africa,Northern Africa,MAR,Morocco,Rabat,WHO,13
Africa,Northern Africa,MAR,Morocco,Tangier,IOM,3
Africa,Northern Africa,DZA,Algeria,Alger,FAO,3
Africa,Northern Africa,DZA,Algeria,Alger,ILO,24
Africa,Northern Africa,DZA,Algeria,Alger,IOM,6
Africa,Northern Africa,DZA,Algeria,Alger,UN,8
Africa,Northern Africa,DZA,Algeria,Alger,UN WOMEN,2
Africa,Northern Africa,DZA,Algeria,Alger,UNAIDS,3
Africa,Northern Africa,DZA,Algeria,Alger,UNDP,25
Africa,Northern Africa,DZA,Algeria,Alger,UNFPA,7
Africa,Northern Africa,DZA,Algeria,Alger,UNHCR,20
Africa,Northern Africa,DZA,Algeria,Alger,UNICEF,24
Africa,Northern Africa,DZA,Algeria,Alger,UNIDO,2
Africa,Northern Africa,DZA,Algeria,Alger,WFP,11
Africa,Northern Africa,DZA,Algeria,Alger,WHO,15
Africa,Northern Africa,DZA,Algeria,Alger,WIPO,1
Africa,Northern Africa,DZA,Algeria,Tindouf,UN,10
Africa,Northern Africa,DZA,Algeria,Tindouf,UNHCR,36
Africa,Northern Africa,DZA,Algeria,Tindouf,UNICEF,1
Africa,Northern Africa,DZA,Algeria,Tindouf,WFP,11
Africa,Northern Africa,DZA,Algeria,Tlemcen,UNU,1
Africa,Northern Africa,EGY,Egypt,Alexandria,UNHCR,14
Africa,Northern Africa,EGY,Egypt,Cairo,FAO,73
Africa,Northern Africa,EGY,Egypt,Cairo,ICAO,19
Africa,Northern Africa,EGY,Egypt,Cairo,IFAD,12
Africa,Northern Africa,EGY,Egypt,Cairo,ILO,64
Africa,Northern Africa,EGY,Egypt,Cairo,IOM,136
Africa,Northern Africa,EGY,Egypt,Cairo,ITU,10
Africa,Northern Africa,EGY,Egypt,Cairo,UN,69
Africa,Northern Africa,EGY,Egypt,Cairo,UN WOMEN,31
Africa,Northern Africa,EGY,Egypt,Cairo,UNAIDS,8
Africa,Northern Africa,EGY,Egypt,Cairo,UNDP,52
Africa,Northern Africa,EGY,Egypt,Cairo,UNESCO,18
Africa,Northern Africa,EGY,Egypt,Cairo,UNFPA,63
Africa,Northern Africa,EGY,Egypt,Cairo,UNHCR,106
Africa,Northern Africa,EGY,Egypt,Cairo,UNICEF,87
Africa,Northern Africa,EGY,Egypt,Cairo,UNIDO,4
Africa,Northern Africa,EGY,Egypt,Cairo,UNOPS,1
Africa,Northern Africa,EGY,Egypt,Cairo,UPU,1
Africa,Northern Africa,EGY,Egypt,Cairo,WFP,120
Africa,Northern Africa,EGY,Egypt,Cairo,WHO,430
Africa,Northern Africa,EGY,Egypt,El Minya Governorate,ILO,1
Africa,Northern Africa,EGY,Egypt,Hurghada,ILO,1
Africa,Northern Africa,EGY,Egypt,Ismailia,UN,3
Africa,Northern Africa,EGY,Egypt,Port Said,ILO,2
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UN,218
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UNHCR,11
Africa,Northern Africa,ESH,Western Sahara,Laayoune,UNOPS,3
Africa,Northern Africa,LBY,Libya,Benghazi,UN,1
Africa,Northern Africa,LBY,Libya,Benghazi,UNFPA,1
Africa,Northern Africa,LBY,Libya,Benghazi,UNHCR,4
Africa,Northern Africa,LBY,Libya,Benghazi,UNICEF,2
Africa,Northern Africa,LBY,Libya,Sebha,UN,1
Africa,Northern Africa,LBY,Libya,Tripoli,IOM,19
Africa,Northern Africa,LBY,Libya,Tripoli,UN,217
Africa,Northern Africa,LBY,Libya,Tripoli,UNDP,27
Africa,Northern Africa,LBY,Libya,Tripoli,UNFPA,11
Africa,Northern Africa,LBY,Libya,Tripoli,UNHCR,84
Africa,Northern Africa,LBY,Libya,Tripoli,UNICEF,45
Africa,Northern Africa,LBY,Libya,Tripoli,UNOPS,2
Africa,Northern Africa,LBY,Libya,Tripoli,WFP,5
Africa,Northern Africa,LBY,Libya,Tripoli,WHO,18
Africa,Northern Africa,SDN,Sudan,Abu Jubayhah,UNHCR,8
Africa,Northern Africa,SDN,Sudan,Abyei,IOM,1
Africa,Northern Africa,SDN,Sudan,Abyei,UN,169
Africa,Northern Africa,SDN,Sudan,Abyei,UNDP,1
Africa,Northern Africa,SDN,Sudan,Abyei,UNICEF,1
Africa,Northern Africa,SDN,Sudan,Abyei,UNOPS,7
Africa,Northern Africa,SDN,Sudan,Ad Damazin,UNICEF,14
Africa,Northern Africa,SDN,Sudan,Ad Damazin,WFP,3
Africa,Northern Africa,SDN,Sudan,Damazine,UN,3
Africa,Northern Africa,SDN,Sudan,Damazine,WHO,1
Africa,Northern Africa,SDN,Sudan,Ed Da'ein,UN,5
Africa,Northern Africa,SDN,Sudan,Ed Da'ein,UNDP,1
Africa,Northern Africa,SDN,Sudan,Ed Da'ein,UNHCR,21
Africa,Northern Africa,SDN,Sudan,Ed Da'ein,UNICEF,6
Africa,Northern Africa,SDN,Sudan,Ed Da'ein,WFP,6
Africa,Northern Africa,SDN,Sudan,El Fasher,FAO,1
Africa,Northern Africa,SDN,Sudan,El Fasher,UN,838
Africa,Northern Africa,SDN,Sudan,El Fasher,UNDP,6
Africa,Northern Africa,SDN,Sudan,El Fasher,UNHCR,28
Africa,Northern Africa,SDN,Sudan,El Fasher,UNICEF,23
Africa,Northern Africa,SDN,Sudan,El Fasher,UNOPS,5
Africa,Northern Africa,SDN,Sudan,El Fasher,WFP,43
Africa,Northern Africa,SDN,Sudan,El Fasher,WHO,2
Africa,Northern Africa,SDN,Sudan,El Fula,UNHCR,9
