YEAR,ORG,ENTITY,STAFF
2014,FAO,NA,3289
2014,IAEA,NA,2339
2014,ICAO,NA,714
2014,ICJ,NA,113
2014,ICSC,NA,44
2014,IFAD,NA,576
2014,ILO,NA,2727
2014,IMO,NA,270
2014,ITC,NA,262
2014,ITCILO,NA,176
2014,ITU,NA,741
2014,PAHO,NA,887
2014,UN,NA,33257
2014,UN WOMEN,NA,748
2014,UNAIDS,NA,796
2014,UNDP,NA,7450
2014,UNESCO,NA,2091
2014,UNFCCC,NA,476
2014,UNFPA,NA,2515
2014,UNHCR,NA,7131
2014,UNICC,NA,204
2014,UNICEF,NA,11808
2014,UNIDO,NA,644
2014,UNITAR,NA,37
2014,UNJSPF,NA,224
2014,UNOPS,NA,787
2014,UNRWA,NA,221
2014,UNSSC,NA,36
2014,UNU,NA,118
2014,UNWTO,NA,97
2014,UPU,NA,178
2014,WFP,NA,5302
2014,WHO,NA,6287
2014,WIPO,NA,1052
2014,WMO,NA,294
2015,FAO,NA,3250
2015,IAEA,NA,2407
2015,ICAO,NA,764
2015,ICJ,NA,109
2015,ICSC,NA,40
2015,IFAD,NA,601
2015,ILO,NA,2796
2015,IMO,NA,263
2015,ITC,NA,262
2015,ITCILO,NA,169
2015,ITU,NA,744
2015,PAHO,NA,822
2015,UN,NA,35993
2015,UN WOMEN,NA,812
2015,UNAIDS,NA,799
2015,UNDP,NA,7353
2015,UNESCO,NA,2098
2015,UNFCCC,NA,462
2015,UNFPA,NA,2600
2015,UNHCR,NA,8679
2015,UNICC,NA,221
2015,UNICEF,NA,12503
2015,UNIDO,NA,621
2015,UNITAR,NA,37
2015,UNJSPF,NA,222
2015,UNOPS,NA,826
2015,UNRWA,NA,215
2015,UNSSC,NA,30
2015,UNU,NA,118
2015,UNWTO,NA,94
2015,UPU,NA,156
2015,WFP,NA,5496
2015,WHO,NA,6292
2015,WIPO,NA,1164
2015,WMO,NA,299
2016,CTBTO,NA,276
2016,FAO,NA,3162
2016,IAEA,NA,2569
2016,ICAO,NA,780
2016,ICJ,NA,104
2016,ICSC,NA,41
2016,IFAD,NA,621
2016,ILO,NA,2739
2016,IMO,NA,273
2016,IOM,NA,4104
2016,ISA,NA,29
2016,ITC,NA,275
2016,ITCILO,NA,172
2016,ITLOS,NA,33
2016,ITU,NA,744
2016,PAHO,NA,823
2016,UN,NA,36103
2016,UN WOMEN,NA,837
2016,UNAIDS,NA,704
2016,UNDP,NA,7394
2016,UNESCO,NA,2103
2016,UNFCCC,NA,413
2016,UNFPA,NA,2650
2016,UNHCR,NA,9136
2016,UNICC,NA,222
2016,UNICEF,NA,11589
2016,UNIDO,NA,604
2016,UNITAR,NA,39
2016,UNJSPF,NA,228
2016,UNOPS,NA,769
2016,UNRWA,NA,250
2016,UNSSC,NA,33
2016,UNU,NA,108
2016,UNWTO,NA,91
2016,UPU,NA,184
2016,WFP,NA,5831
2016,WHO,NA,6340
2016,WIPO,NA,1161
2016,WMO,NA,309
2017,CTBTO,NA,310
2017,FAO,NA,3134
2017,IAEA,NA,2394
2017,ICAO,NA,795
2017,ICJ,NA,109
2017,ICSC,ICSC,45
2017,IFAD,NA,627
2017,ILO,NA,3008
2017,IMO,NA,270
2017,IOM,NA,4450
2017,ISA,NA,35
2017,ITC,NA,287
2017,ITCILO,NA,164
2017,ITLOS,NA,35
2017,ITU,NA,680
2017,PAHO,NA,802
